|dates|Unassigned_NewJersey_UnitedStates.JHU_ConfirmedCases.data|Unassigned_NewJersey_UnitedStates.JHU_ConfirmedCases.missing|Unassigned_NewJersey_UnitedStates.NYT_ConfirmedCases.data|Unassigned_NewJersey_UnitedStates.NYT_ConfirmedCases.missing|Unassigned_NewJersey_UnitedStates.JHU_ConfirmedDeaths.data|Unassigned_NewJersey_UnitedStates.JHU_ConfirmedDeaths.missing|Unassigned_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.data|Unassigned_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|630.0|0|630.0|0|0.0|0|0.0|100
0|2021-10-18|632.0|0|632.0|0|0.0|0|0.0|100
0|2021-10-19|624.0|0|624.0|0|0.0|0|0.0|100
0|2021-10-20|620.0|0|620.0|0|0.0|0|0.0|100
0|2021-10-21|621.0|0|621.0|0|0.0|0|0.0|100
0|2021-10-22|611.0|0|611.0|0|0.0|0|0.0|100
0|2021-10-23|623.0|0|623.0|0|0.0|0|0.0|100
0|2021-10-24|624.0|0|624.0|0|0.0|0|0.0|100
0|2021-10-25|627.0|0|627.0|0|0.0|0|0.0|100
0|2021-10-26|643.0|0|643.0|0|0.0|0|0.0|100
0|2021-10-27|597.0|0|597.0|0|0.0|0|0.0|100
0|2021-10-28|587.0|0|587.0|0|0.0|0|0.0|100
0|2021-10-29|580.0|0|580.0|0|0.0|0|0.0|100
0|2021-10-30|587.0|0|587.0|0|0.0|0|0.0|100
0|2021-10-31|596.0|0|596.0|0|0.0|0|0.0|100
0|2021-11-01|600.0|0|600.0|0|0.0|0|0.0|100
0|2021-11-02|589.0|0|589.0|0|0.0|0|0.0|100
0|2021-11-03|570.0|0|570.0|0|0.0|0|0.0|100
0|2021-11-04|575.0|0|575.0|0|0.0|0|0.0|100
0|2021-11-05|563.0|0|563.0|0|0.0|0|0.0|100
0|2021-11-06|563.0|0|563.0|0|0.0|0|0.0|100
0|2021-11-07|579.0|0|579.0|0|0.0|0|0.0|100
0|2021-11-08|593.0|0|593.0|0|0.0|0|0.0|100
0|2021-11-09|599.0|0|599.0|0|0.0|0|0.0|100
0|2021-11-10|599.0|0|597.0|0|0.0|0|0.0|100
0|2021-11-11|600.0|0|600.0|0|0.0|0|0.0|100
0|2021-11-12|622.0|0|622.0|0|0.0|0|0.0|100
0|2021-11-13|606.0|0|606.0|0|0.0|0|0.0|100
0|2021-11-14|615.0|0|615.0|0|0.0|0|0.0|100
0|2021-11-15|624.0|0|624.0|0|0.0|0|0.0|100
0|2021-11-16|567.0|0|567.0|0|0.0|0|0.0|100
0|2021-11-17|549.0|0|549.0|0|0.0|0|0.0|100
0|2021-11-18|557.0|0|557.0|0|0.0|0|0.0|100
0|2021-11-19|556.0|0|556.0|0|0.0|0|0.0|100
0|2021-11-20|552.0|0|552.0|0|0.0|0|0.0|100
0|2021-11-21|556.0|0|556.0|0|0.0|0|0.0|100
0|2021-11-22|578.0|0|578.0|0|0.0|0|0.0|100
0|2021-11-23|559.0|0|559.0|0|0.0|0|0.0|100
0|2021-11-24|543.0|0|543.0|0|0.0|0|0.0|100
0|2021-11-25|540.0|0|540.0|0|0.0|0|0.0|100
0|2021-11-26|549.0|0|549.0|0|0.0|0|0.0|100
0|2021-11-27|556.0|0|556.0|0|0.0|0|0.0|100
