|dates|Unassigned_Vermont_UnitedStates.JHU_ConfirmedCases.data|Unassigned_Vermont_UnitedStates.JHU_ConfirmedCases.missing|Unassigned_Vermont_UnitedStates.NYT_ConfirmedCases.data|Unassigned_Vermont_UnitedStates.NYT_ConfirmedCases.missing|Unassigned_Vermont_UnitedStates.JHU_ConfirmedDeaths.data|Unassigned_Vermont_UnitedStates.JHU_ConfirmedDeaths.missing|Unassigned_Vermont_UnitedStates.JHU_ConfirmedRecoveries.data|Unassigned_Vermont_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|30.0|0|30.0|0|0.0|0|0.0|100
0|2021-10-18|25.0|0|25.0|0|0.0|0|0.0|100
0|2021-10-19|40.0|0|40.0|0|0.0|0|0.0|100
0|2021-10-20|28.0|0|28.0|0|0.0|0|0.0|100
0|2021-10-21|27.0|0|27.0|0|0.0|0|0.0|100
0|2021-10-22|35.0|0|35.0|0|0.0|0|0.0|100
0|2021-10-23|31.0|0|31.0|0|0.0|0|0.0|100
0|2021-10-24|88.0|0|88.0|0|0.0|0|0.0|100
0|2021-10-25|28.0|0|28.0|0|0.0|0|0.0|100
0|2021-10-26|38.0|0|38.0|0|0.0|0|0.0|100
0|2021-10-27|80.0|0|80.0|0|0.0|0|0.0|100
0|2021-10-28|106.0|0|106.0|0|0.0|0|0.0|100
0|2021-10-29|34.0|0|34.0|0|0.0|0|0.0|100
0|2021-10-30|60.0|0|60.0|0|0.0|0|0.0|100
0|2021-10-31|43.0|0|43.0|0|0.0|0|0.0|100
0|2021-11-01|26.0|0|26.0|0|0.0|0|0.0|100
0|2021-11-02|69.0|0|69.0|0|0.0|0|0.0|100
0|2021-11-03|71.0|0|71.0|0|0.0|0|0.0|100
0|2021-11-04|85.0|0|85.0|0|0.0|0|0.0|100
0|2021-11-05|195.0|0|195.0|0|0.0|0|0.0|100
0|2021-11-06|45.0|0|45.0|0|0.0|0|0.0|100
0|2021-11-07|31.0|0|31.0|0|0.0|0|0.0|100
0|2021-11-08|29.0|0|29.0|0|0.0|0|0.0|100
0|2021-11-09|44.0|0|44.0|0|0.0|0|0.0|100
0|2021-11-10|44.0|0|36.0|0|0.0|0|0.0|100
0|2021-11-11|59.0|0|59.0|0|0.0|0|0.0|100
0|2021-11-12|158.0|0|158.0|0|0.0|0|0.0|100
0|2021-11-13|75.0|0|75.0|0|0.0|0|0.0|100
0|2021-11-14|35.0|0|35.0|0|0.0|0|0.0|100
0|2021-11-15|53.0|0|53.0|0|0.0|0|0.0|100
0|2021-11-16|31.0|0|31.0|0|0.0|0|0.0|100
0|2021-11-17|34.0|0|34.0|0|0.0|0|0.0|100
0|2021-11-18|54.0|0|54.0|0|0.0|0|0.0|100
0|2021-11-19|63.0|0|63.0|0|0.0|0|0.0|100
0|2021-11-20|81.0|0|81.0|0|0.0|0|0.0|100
0|2021-11-21|37.0|0|37.0|0|0.0|0|0.0|100
0|2021-11-22|39.0|0|39.0|0|0.0|0|0.0|100
0|2021-11-23|65.0|0|65.0|0|0.0|0|0.0|100
0|2021-11-24|63.0|0|63.0|0|0.0|0|0.0|100
0|2021-11-25|63.0|0|63.0|0|0.0|0|0.0|100
0|2021-11-26|63.0|0|63.0|0|0.0|0|0.0|100
0|2021-11-27|63.0|0|63.0|0|0.0|0|0.0|100
0|2021-11-28|63.0|0|63.0|0|0.0|0|0.0|100
0|2021-11-29|39.0|0|39.0|0|0.0|0|0.0|100
0|2021-11-30|42.0|0|42.0|0|0.0|0|0.0|100
0|2021-12-01|58.0|0|58.0|0|0.0|0|0.0|100
0|2021-12-02|57.0|0|57.0|0|0.0|0|0.0|100
0|2021-12-03|46.0|0|46.0|0|0.0|0|0.0|100
0|2021-12-04|108.0|0|108.0|0|0.0|0|0.0|100
0|2021-12-05|108.0|0|209.0|0|0.0|0|0.0|100
0|2021-12-06|81.0|0|81.0|0|0.0|0|0.0|100
0|2021-12-07|52.0|0|52.0|0|0.0|0|0.0|100
0|2021-12-08|159.0|0|159.0|0|0.0|0|0.0|100
0|2021-12-09|82.0|0|82.0|0|0.0|0|0.0|100
0|2021-12-10|190.0|0|190.0|0|0.0|0|0.0|100
0|2021-12-11|59.0|0|59.0|0|0.0|0|0.0|100
0|2021-12-12|234.0|0|234.0|0|0.0|0|0.0|100
0|2021-12-13|49.0|0|49.0|0|0.0|0|0.0|100
0|2021-12-14|49.0|0|50.0|0|0.0|0|0.0|100
0|2021-12-15|117.0|0|117.0|0|0.0|0|0.0|100
0|2021-12-16|189.0|0|189.0|0|0.0|0|0.0|100
0|2021-12-17|211.0|0|211.0|0|0.0|0|0.0|100
0|2021-12-18|221.0|0|221.0|0|0.0|0|0.0|100
0|2021-12-19|88.0|0|88.0|0|0.0|0|0.0|100
0|2021-12-20|50.0|0|50.0|0|0.0|0|0.0|100
0|2021-12-21|52.0|0|52.0|0|0.0|0|0.0|100
0|2021-12-22|329.0|0|329.0|0|0.0|0|0.0|100
0|2021-12-23|205.0|0|205.0|0|0.0|0|0.0|100
0|2021-12-24|205.0|0|205.0|0|0.0|0|0.0|100
0|2021-12-25|205.0|0|205.0|0|0.0|0|0.0|100
0|2021-12-26|205.0|0|205.0|0|0.0|0|0.0|100
0|2021-12-27|56.0|0|56.0|0|0.0|0|0.0|100
