|dates|Uvalde_Texas_UnitedStates.JHU_ConfirmedCases.data|Uvalde_Texas_UnitedStates.JHU_ConfirmedCases.missing|Uvalde_Texas_UnitedStates.NYT_ConfirmedCases.data|Uvalde_Texas_UnitedStates.NYT_ConfirmedCases.missing|Uvalde_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Uvalde_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Uvalde_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Uvalde_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6269.0|0|6269.0|0|105.0|0|0.0|100
0|2021-10-18|6280.0|0|6280.0|0|105.0|0|0.0|100
0|2021-10-19|6285.0|0|6285.0|0|105.0|0|0.0|100
0|2021-10-20|6299.0|0|6299.0|0|105.0|0|0.0|100
0|2021-10-21|6306.0|0|6306.0|0|105.0|0|0.0|100
0|2021-10-22|6312.0|0|6312.0|0|106.0|0|0.0|100
0|2021-10-23|6312.0|0|6312.0|0|107.0|0|0.0|100
0|2021-10-24|6312.0|0|6312.0|0|108.0|0|0.0|100
0|2021-10-25|6324.0|0|6324.0|0|108.0|0|0.0|100
0|2021-10-26|6324.0|0|6324.0|0|108.0|0|0.0|100
0|2021-10-27|6324.0|0|6324.0|0|108.0|0|0.0|100
0|2021-10-28|6336.0|0|6336.0|0|109.0|0|0.0|100
0|2021-10-29|6339.0|0|6339.0|0|109.0|0|0.0|100
0|2021-10-30|6339.0|0|6339.0|0|109.0|0|0.0|100
0|2021-10-31|6339.0|0|6339.0|0|109.0|0|0.0|100
0|2021-11-01|6340.0|0|6340.0|0|109.0|0|0.0|100
0|2021-11-02|6340.0|0|6340.0|0|109.0|0|0.0|100
0|2021-11-03|6340.0|0|6340.0|0|109.0|0|0.0|100
0|2021-11-04|6340.0|0|6340.0|0|109.0|0|0.0|100
0|2021-11-05|6340.0|0|6340.0|0|110.0|0|0.0|100
0|2021-11-06|6340.0|0|6340.0|0|112.0|0|0.0|100
0|2021-11-07|6340.0|0|6340.0|0|112.0|0|0.0|100
0|2021-11-08|6340.0|0|6340.0|0|112.0|0|0.0|100
0|2021-11-09|6340.0|0|6340.0|0|112.0|0|0.0|100
0|2021-11-10|6340.0|0|6340.0|0|112.0|0|0.0|100
0|2021-11-11|6340.0|0|6340.0|0|113.0|0|0.0|100
0|2021-11-12|6346.0|0|6346.0|0|115.0|0|0.0|100
0|2021-11-13|6346.0|0|6346.0|0|115.0|0|0.0|100
0|2021-11-14|6346.0|0|6346.0|0|115.0|0|0.0|100
0|2021-11-15|6346.0|0|6346.0|0|115.0|0|0.0|100
0|2021-11-16|6354.0|0|6354.0|0|116.0|0|0.0|100
0|2021-11-17|6362.0|0|6362.0|0|116.0|0|0.0|100
0|2021-11-18|6362.0|0|6362.0|0|117.0|0|0.0|100
0|2021-11-19|6374.0|0|6374.0|0|117.0|0|0.0|100
0|2021-11-20|6374.0|0|6374.0|0|117.0|0|0.0|100
0|2021-11-21|6374.0|0|6374.0|0|117.0|0|0.0|100
0|2021-11-22|6386.0|0|6386.0|0|117.0|0|0.0|100
0|2021-11-23|6386.0|0|6386.0|0|117.0|0|0.0|100
0|2021-11-24|6386.0|0|6386.0|0|117.0|0|0.0|100
0|2021-11-25|6386.0|0|6386.0|0|117.0|0|0.0|100
0|2021-11-26|6386.0|0|6386.0|0|117.0|0|0.0|100
0|2021-11-27|6386.0|0|6386.0|0|117.0|0|0.0|100
0|2021-11-28|6386.0|0|6386.0|0|117.0|0|0.0|100
0|2021-11-29|6386.0|0|6386.0|0|117.0|0|0.0|100
0|2021-11-30|6398.0|0|6398.0|0|117.0|0|0.0|100
0|2021-12-01|6398.0|0|6398.0|0|117.0|0|0.0|100
0|2021-12-02|6401.0|0|6401.0|0|117.0|0|0.0|100
0|2021-12-03|6403.0|0|6403.0|0|117.0|0|0.0|100
0|2021-12-04|6403.0|0|6403.0|0|118.0|0|0.0|100
0|2021-12-05|6403.0|0|6403.0|0|118.0|0|0.0|100
0|2021-12-06|6404.0|0|6404.0|0|118.0|0|0.0|100
0|2021-12-07|6406.0|0|6406.0|0|118.0|0|0.0|100
0|2021-12-08|6408.0|0|6408.0|0|118.0|0|0.0|100
0|2021-12-09|6408.0|0|6408.0|0|118.0|0|0.0|100
0|2021-12-10|6432.0|0|6432.0|0|118.0|0|0.0|100
0|2021-12-11|6438.0|0|6438.0|0|118.0|0|0.0|100
0|2021-12-12|6439.0|0|6439.0|0|118.0|0|0.0|100
0|2021-12-13|6453.0|0|6453.0|0|118.0|0|0.0|100
0|2021-12-14|6453.0|0|6457.0|0|118.0|0|0.0|100
0|2021-12-15|6469.0|0|6469.0|0|118.0|0|0.0|100
0|2021-12-16|6474.0|0|6474.0|0|118.0|0|0.0|100
0|2021-12-17|6477.0|0|6477.0|0|118.0|0|0.0|100
0|2021-12-18|6477.0|0|6477.0|0|118.0|0|0.0|100
0|2021-12-19|6479.0|0|6479.0|0|118.0|0|0.0|100
0|2021-12-20|6485.0|0|6485.0|0|118.0|0|0.0|100
0|2021-12-21|6489.0|0|6489.0|0|118.0|0|0.0|100
0|2021-12-22|6494.0|0|6494.0|0|118.0|0|0.0|100
0|2021-12-23|6494.0|0|6494.0|0|118.0|0|0.0|100
0|2021-12-24|6494.0|0|6494.0|0|118.0|0|0.0|100
0|2021-12-25|6494.0|0|6494.0|0|118.0|0|0.0|100
0|2021-12-26|6494.0|0|6494.0|0|118.0|0|0.0|100
0|2021-12-27|6522.0|0|6522.0|0|119.0|0|0.0|100
0|2021-12-28|6528.0|0|6528.0|0|120.0|0|0.0|100
0|2021-12-29|6531.0|0|6531.0|0|120.0|0|0.0|100
0|2021-12-30|6551.0|0|6551.0|0|120.0|0|0.0|100
0|2021-12-31|6551.0|0|6551.0|0|120.0|0|0.0|100
0|2022-01-01|6551.0|0|6551.0|0|120.0|0|0.0|100
0|2022-01-02|6551.0|0|6551.0|0|120.0|0|0.0|100
0|2022-01-03|6746.0|0|6746.0|0|120.0|0|0.0|100
0|2022-01-04|6855.0|0|6855.0|0|120.0|0|0.0|100
0|2022-01-05|6937.0|0|6937.0|0|120.0|0|0.0|100
0|2022-01-06|6946.0|0|6946.0|0|120.0|0|0.0|100
0|2022-01-07|7006.0|0|7006.0|0|120.0|0|0.0|100
0|2022-01-08|7084.0|0|7084.0|0|120.0|0|0.0|100
0|2022-01-09|7221.0|0|7221.0|0|120.0|0|0.0|100
0|2022-01-10|7286.0|0|7286.0|0|120.0|0|0.0|100
0|2022-01-11|7368.0|0|7368.0|0|120.0|0|0.0|100
0|2022-01-12|7536.0|0|7536.0|0|120.0|0|0.0|100
0|2022-01-13|7536.0|0|7661.0|0|120.0|0|0.0|100
0|2022-01-14|7661.0|0|7901.0|0|120.0|0|0.0|100
0|2022-01-15|8065.0|0|8065.0|0|120.0|0|0.0|100
