|dates|Vance_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Vance_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Vance_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Vance_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Vance_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Vance_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Vance_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Vance_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6627.0|0|6627.0|0|98.0|0|0.0|100
0|2021-10-18|6686.0|0|6686.0|0|99.0|0|0.0|100
0|2021-10-19|6699.0|0|6699.0|0|99.0|0|0.0|100
0|2021-10-20|6719.0|0|6719.0|0|100.0|0|0.0|100
0|2021-10-21|6726.0|0|6726.0|0|100.0|0|0.0|100
0|2021-10-22|6741.0|0|6741.0|0|100.0|0|0.0|100
0|2021-10-23|6741.0|0|6741.0|0|100.0|0|0.0|100
0|2021-10-24|6741.0|0|6741.0|0|100.0|0|0.0|100
0|2021-10-25|6786.0|0|6786.0|0|101.0|0|0.0|100
0|2021-10-26|6792.0|0|6792.0|0|101.0|0|0.0|100
0|2021-10-27|6809.0|0|6809.0|0|101.0|0|0.0|100
0|2021-10-28|6826.0|0|6826.0|0|101.0|0|0.0|100
0|2021-10-29|6838.0|0|6838.0|0|102.0|0|0.0|100
0|2021-10-30|6838.0|0|6838.0|0|102.0|0|0.0|100
0|2021-10-31|6838.0|0|6838.0|0|102.0|0|0.0|100
0|2021-11-01|6863.0|0|6863.0|0|102.0|0|0.0|100
0|2021-11-02|6867.0|0|6867.0|0|102.0|0|0.0|100
0|2021-11-03|6880.0|0|6880.0|0|102.0|0|0.0|100
0|2021-11-04|6896.0|0|6896.0|0|102.0|0|0.0|100
0|2021-11-05|6905.0|0|6905.0|0|102.0|0|0.0|100
0|2021-11-06|6905.0|0|6905.0|0|102.0|0|0.0|100
0|2021-11-07|6905.0|0|6905.0|0|102.0|0|0.0|100
0|2021-11-08|6927.0|0|6927.0|0|102.0|0|0.0|100
0|2021-11-09|6936.0|0|6936.0|0|102.0|0|0.0|100
0|2021-11-10|6941.0|0|6941.0|0|103.0|0|0.0|100
0|2021-11-11|6941.0|0|6941.0|0|103.0|0|0.0|100
0|2021-11-12|6954.0|0|6954.0|0|103.0|0|0.0|100
0|2021-11-13|6954.0|0|6954.0|0|103.0|0|0.0|100
0|2021-11-14|6954.0|0|6954.0|0|103.0|0|0.0|100
0|2021-11-15|6980.0|0|6980.0|0|103.0|0|0.0|100
0|2021-11-16|6978.0|0|6978.0|0|103.0|0|0.0|100
0|2021-11-17|6982.0|0|6982.0|0|103.0|0|0.0|100
0|2021-11-18|6986.0|0|6986.0|0|104.0|0|0.0|100
0|2021-11-19|7000.0|0|7000.0|0|104.0|0|0.0|100
0|2021-11-20|7000.0|0|7000.0|0|104.0|0|0.0|100
0|2021-11-21|7000.0|0|7000.0|0|104.0|0|0.0|100
0|2021-11-22|7019.0|0|7019.0|0|104.0|0|0.0|100
0|2021-11-23|7025.0|0|7025.0|0|104.0|0|0.0|100
0|2021-11-24|7043.0|0|7043.0|0|104.0|0|0.0|100
0|2021-11-25|7043.0|0|7043.0|0|104.0|0|0.0|100
0|2021-11-26|7043.0|0|7043.0|0|104.0|0|0.0|100
0|2021-11-27|7043.0|0|7043.0|0|104.0|0|0.0|100
0|2021-11-28|7043.0|0|7043.0|0|104.0|0|0.0|100
0|2021-11-29|7076.0|0|7076.0|0|104.0|0|0.0|100
0|2021-11-30|7079.0|0|7079.0|0|104.0|0|0.0|100
0|2021-12-01|7088.0|0|7088.0|0|104.0|0|0.0|100
0|2021-12-02|7109.0|0|7109.0|0|104.0|0|0.0|100
0|2021-12-03|7134.0|0|7134.0|0|104.0|0|0.0|100
0|2021-12-04|7134.0|0|7134.0|0|104.0|0|0.0|100
0|2021-12-05|7134.0|0|7134.0|0|104.0|0|0.0|100
0|2021-12-06|7173.0|0|7173.0|0|104.0|0|0.0|100
0|2021-12-07|7177.0|0|7177.0|0|104.0|0|0.0|100
0|2021-12-08|7187.0|0|7187.0|0|104.0|0|0.0|100
0|2021-12-09|7217.0|0|7217.0|0|104.0|0|0.0|100
0|2021-12-10|7228.0|0|7228.0|0|104.0|0|0.0|100
0|2021-12-11|7228.0|0|7228.0|0|104.0|0|0.0|100
0|2021-12-12|7228.0|0|7228.0|0|104.0|0|0.0|100
0|2021-12-13|7264.0|0|7264.0|0|104.0|0|0.0|100
0|2021-12-14|7264.0|0|7262.0|0|104.0|0|0.0|100
0|2021-12-15|7281.0|0|7281.0|0|104.0|0|0.0|100
0|2021-12-16|7311.0|0|7311.0|0|104.0|0|0.0|100
0|2021-12-17|7344.0|0|7344.0|0|104.0|0|0.0|100
0|2021-12-18|7344.0|0|7344.0|0|104.0|0|0.0|100
0|2021-12-19|7344.0|0|7344.0|0|104.0|0|0.0|100
0|2021-12-20|7413.0|0|7413.0|0|104.0|0|0.0|100
0|2021-12-21|7427.0|0|7427.0|0|104.0|0|0.0|100
0|2021-12-22|7454.0|0|7454.0|0|104.0|0|0.0|100
0|2021-12-23|7454.0|0|7454.0|0|104.0|0|0.0|100
0|2021-12-24|7454.0|0|7454.0|0|104.0|0|0.0|100
0|2021-12-25|7454.0|0|7454.0|0|104.0|0|0.0|100
0|2021-12-26|7454.0|0|7454.0|0|104.0|0|0.0|100
0|2021-12-27|7454.0|0|7454.0|0|104.0|0|0.0|100
0|2021-12-28|7614.0|0|7614.0|0|104.0|0|0.0|100
0|2021-12-29|7665.0|0|7665.0|0|104.0|0|0.0|100
0|2021-12-30|7804.0|0|7804.0|0|104.0|0|0.0|100
0|2021-12-31|7804.0|0|7943.0|0|104.0|0|0.0|100
0|2022-01-01|7804.0|0|7943.0|0|104.0|0|0.0|100
0|2022-01-02|7804.0|0|7943.0|0|104.0|0|0.0|100
0|2022-01-03|8307.0|0|8307.0|0|104.0|0|0.0|100
0|2022-01-04|8348.0|0|8348.0|0|104.0|0|0.0|100
0|2022-01-05|8481.0|0|8481.0|0|104.0|0|0.0|100
0|2022-01-06|8567.0|0|8567.0|0|104.0|0|0.0|100
0|2022-01-07|8648.0|0|8648.0|0|104.0|0|0.0|100
0|2022-01-08|8648.0|0|8648.0|0|104.0|0|0.0|100
0|2022-01-09|8648.0|0|8648.0|0|104.0|0|0.0|100
0|2022-01-10|8977.0|0|8977.0|0|104.0|0|0.0|100
0|2022-01-11|9024.0|0|9024.0|0|104.0|0|0.0|100
0|2022-01-12|9076.0|0|9076.0|0|104.0|0|0.0|100
0|2022-01-13|9076.0|0|9220.0|0|104.0|0|0.0|100
0|2022-01-14|9372.0|0|9372.0|0|108.0|0|0.0|100
0|2022-01-15|9372.0|0|9372.0|0|108.0|0|0.0|100
0|2022-01-16|9372.0|0|9372.0|0|108.0|0|0.0|100
0|2022-01-17|9372.0|0|0.0|100|108.0|0|0.0|100
