|dates|Vermilion_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Vermilion_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Vermilion_Louisiana_UnitedStates.NYT_ConfirmedCases.data|Vermilion_Louisiana_UnitedStates.NYT_ConfirmedCases.missing|Vermilion_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Vermilion_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Vermilion_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Vermilion_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|10090.0|0|10090.0|0|184.0|0|0.0|100
0|2021-10-18|10108.0|0|10108.0|0|185.0|0|0.0|100
0|2021-10-19|10110.0|0|10110.0|0|186.0|0|0.0|100
0|2021-10-20|10121.0|0|10121.0|0|187.0|0|0.0|100
0|2021-10-21|10148.0|0|10148.0|0|187.0|0|0.0|100
0|2021-10-22|10162.0|0|10162.0|0|187.0|0|0.0|100
0|2021-10-23|10162.0|0|10162.0|0|187.0|0|0.0|100
0|2021-10-24|10162.0|0|10162.0|0|187.0|0|0.0|100
0|2021-10-25|10170.0|0|10170.0|0|187.0|0|0.0|100
0|2021-10-26|10181.0|0|10181.0|0|187.0|0|0.0|100
0|2021-10-27|10192.0|0|10192.0|0|187.0|0|0.0|100
0|2021-10-28|10205.0|0|10205.0|0|188.0|0|0.0|100
0|2021-10-29|10207.0|0|10207.0|0|189.0|0|0.0|100
0|2021-10-30|10207.0|0|10207.0|0|189.0|0|0.0|100
0|2021-10-31|10207.0|0|10207.0|0|189.0|0|0.0|100
0|2021-11-01|10233.0|0|10233.0|0|189.0|0|0.0|100
0|2021-11-02|10240.0|0|10240.0|0|189.0|0|0.0|100
0|2021-11-03|10250.0|0|10250.0|0|189.0|0|0.0|100
0|2021-11-04|10258.0|0|10258.0|0|189.0|0|0.0|100
0|2021-11-05|10261.0|0|10261.0|0|189.0|0|0.0|100
0|2021-11-06|10261.0|0|10261.0|0|189.0|0|0.0|100
0|2021-11-07|10261.0|0|10261.0|0|189.0|0|0.0|100
0|2021-11-08|10270.0|0|10270.0|0|189.0|0|0.0|100
0|2021-11-09|10281.0|0|10281.0|0|190.0|0|0.0|100
0|2021-11-10|10281.0|0|10291.0|0|190.0|0|0.0|100
0|2021-11-11|10291.0|0|10291.0|0|190.0|0|0.0|100
0|2021-11-12|10296.0|0|10296.0|0|191.0|0|0.0|100
0|2021-11-13|10296.0|0|10296.0|0|191.0|0|0.0|100
0|2021-11-14|10296.0|0|10296.0|0|191.0|0|0.0|100
0|2021-11-15|10310.0|0|10310.0|0|191.0|0|0.0|100
0|2021-11-16|10313.0|0|10313.0|0|191.0|0|0.0|100
0|2021-11-17|10319.0|0|10319.0|0|192.0|0|0.0|100
0|2021-11-18|10323.0|0|10323.0|0|192.0|0|0.0|100
0|2021-11-19|10330.0|0|10330.0|0|193.0|0|0.0|100
0|2021-11-20|10330.0|0|10330.0|0|193.0|0|0.0|100
0|2021-11-21|10330.0|0|10330.0|0|193.0|0|0.0|100
0|2021-11-22|10333.0|0|10333.0|0|193.0|0|0.0|100
0|2021-11-23|10350.0|0|10350.0|0|193.0|0|0.0|100
0|2021-11-24|10358.0|0|10358.0|0|193.0|0|0.0|100
0|2021-11-25|10358.0|0|10358.0|0|193.0|0|0.0|100
0|2021-11-26|10358.0|0|10358.0|0|193.0|0|0.0|100
0|2021-11-27|10358.0|0|10358.0|0|193.0|0|0.0|100
0|2021-11-28|10358.0|0|10358.0|0|193.0|0|0.0|100
0|2021-11-29|10373.0|0|10373.0|0|193.0|0|0.0|100
0|2021-11-30|10382.0|0|10382.0|0|193.0|0|0.0|100
0|2021-12-01|10390.0|0|10390.0|0|193.0|0|0.0|100
0|2021-12-02|10390.0|0|10397.0|0|193.0|0|0.0|100
0|2021-12-03|10398.0|0|10398.0|0|193.0|0|0.0|100
0|2021-12-04|10398.0|0|10398.0|0|193.0|0|0.0|100
0|2021-12-05|10398.0|0|10398.0|0|193.0|0|0.0|100
0|2021-12-06|10405.0|0|10405.0|0|193.0|0|0.0|100
0|2021-12-07|10412.0|0|10412.0|0|193.0|0|0.0|100
0|2021-12-08|10419.0|0|10419.0|0|194.0|0|0.0|100
0|2021-12-09|10422.0|0|10422.0|0|194.0|0|0.0|100
0|2021-12-10|10429.0|0|10429.0|0|195.0|0|0.0|100
0|2021-12-11|10429.0|0|10429.0|0|195.0|0|0.0|100
0|2021-12-12|10429.0|0|10429.0|0|195.0|0|0.0|100
0|2021-12-13|10437.0|0|10437.0|0|195.0|0|0.0|100
0|2021-12-14|10437.0|0|10449.0|0|195.0|0|0.0|100
0|2021-12-15|10456.0|0|10456.0|0|195.0|0|0.0|100
0|2021-12-16|10459.0|0|10459.0|0|195.0|0|0.0|100
0|2021-12-17|10472.0|0|10472.0|0|195.0|0|0.0|100
0|2021-12-18|10472.0|0|10472.0|0|195.0|0|0.0|100
0|2021-12-19|10472.0|0|10472.0|0|195.0|0|0.0|100
0|2021-12-20|10494.0|0|10494.0|0|195.0|0|0.0|100
0|2021-12-21|10507.0|0|10507.0|0|195.0|0|0.0|100
0|2021-12-22|10545.0|0|10545.0|0|195.0|0|0.0|100
0|2021-12-23|10555.0|0|10555.0|0|195.0|0|0.0|100
0|2021-12-24|10555.0|0|10555.0|0|195.0|0|0.0|100
0|2021-12-25|10555.0|0|10555.0|0|195.0|0|0.0|100
0|2021-12-26|10555.0|0|10555.0|0|195.0|0|0.0|100
0|2021-12-27|10630.0|0|10630.0|0|195.0|0|0.0|100
0|2021-12-28|10659.0|0|10659.0|0|195.0|0|0.0|100
0|2021-12-29|10773.0|0|10773.0|0|195.0|0|0.0|100
0|2021-12-30|10869.0|0|10869.0|0|195.0|0|0.0|100
0|2021-12-31|10869.0|0|10869.0|0|195.0|0|0.0|100
0|2022-01-01|10869.0|0|10869.0|0|195.0|0|0.0|100
0|2022-01-02|10869.0|0|10869.0|0|195.0|0|0.0|100
0|2022-01-03|11066.0|0|11066.0|0|195.0|0|0.0|100
0|2022-01-04|11173.0|0|11173.0|0|195.0|0|0.0|100
0|2022-01-05|11306.0|0|11306.0|0|195.0|0|0.0|100
0|2022-01-06|11452.0|0|11452.0|0|195.0|0|0.0|100
0|2022-01-07|11527.0|0|11527.0|0|195.0|0|0.0|100
0|2022-01-08|11527.0|0|11527.0|0|195.0|0|0.0|100
0|2022-01-09|11527.0|0|11527.0|0|195.0|0|0.0|100
0|2022-01-10|11838.0|0|11838.0|0|196.0|0|0.0|100
0|2022-01-11|11951.0|0|11951.0|0|196.0|0|0.0|100
0|2022-01-12|11951.0|0|11951.0|0|196.0|0|0.0|100
0|2022-01-13|11951.0|0|11951.0|0|196.0|0|0.0|100
0|2022-01-14|12349.0|0|12349.0|0|196.0|0|0.0|100
0|2022-01-15|12349.0|0|12349.0|0|196.0|0|0.0|100
0|2022-01-16|12349.0|0|12349.0|0|196.0|0|0.0|100
0|2022-01-17|12349.0|0|0.0|100|196.0|0|0.0|100
