|dates|Vinton_Ohio_UnitedStates.JHU_ConfirmedCases.data|Vinton_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Vinton_Ohio_UnitedStates.NYT_ConfirmedCases.data|Vinton_Ohio_UnitedStates.NYT_ConfirmedCases.missing|Vinton_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Vinton_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Vinton_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Vinton_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1620.0|0|1620.0|0|29.0|0|0.0|100
0|2021-10-18|1626.0|0|1626.0|0|29.0|0|0.0|100
0|2021-10-19|1636.0|0|1636.0|0|29.0|0|0.0|100
0|2021-10-20|1643.0|0|1643.0|0|29.0|0|0.0|100
0|2021-10-21|1651.0|0|1651.0|0|30.0|0|0.0|100
0|2021-10-22|1655.0|0|1655.0|0|30.0|0|0.0|100
0|2021-10-23|1666.0|0|1666.0|0|30.0|0|0.0|100
0|2021-10-24|1670.0|0|1670.0|0|30.0|0|0.0|100
0|2021-10-25|1672.0|0|1672.0|0|30.0|0|0.0|100
0|2021-10-26|1677.0|0|1677.0|0|30.0|0|0.0|100
0|2021-10-27|1681.0|0|1681.0|0|30.0|0|0.0|100
0|2021-10-28|1684.0|0|1684.0|0|30.0|0|0.0|100
0|2021-10-29|1688.0|0|1688.0|0|30.0|0|0.0|100
0|2021-10-30|1691.0|0|1691.0|0|30.0|0|0.0|100
0|2021-10-31|1691.0|0|1691.0|0|30.0|0|0.0|100
0|2021-11-01|1696.0|0|1696.0|0|30.0|0|0.0|100
0|2021-11-02|1699.0|0|1699.0|0|30.0|0|0.0|100
0|2021-11-03|1705.0|0|1705.0|0|30.0|0|0.0|100
0|2021-11-04|1706.0|0|1706.0|0|30.0|0|0.0|100
0|2021-11-05|1711.0|0|1711.0|0|30.0|0|0.0|100
0|2021-11-06|1715.0|0|1715.0|0|30.0|0|0.0|100
0|2021-11-07|1720.0|0|1720.0|0|30.0|0|0.0|100
0|2021-11-08|1727.0|0|1727.0|0|30.0|0|0.0|100
0|2021-11-09|1734.0|0|1734.0|0|31.0|0|0.0|100
0|2021-11-10|1734.0|0|1738.0|0|31.0|0|0.0|100
0|2021-11-11|1740.0|0|1740.0|0|31.0|0|0.0|100
0|2021-11-12|1744.0|0|1744.0|0|33.0|0|0.0|100
0|2021-11-13|1748.0|0|1748.0|0|33.0|0|0.0|100
0|2021-11-14|1751.0|0|1751.0|0|33.0|0|0.0|100
0|2021-11-15|1753.0|0|1753.0|0|33.0|0|0.0|100
0|2021-11-16|1758.0|0|1758.0|0|33.0|0|0.0|100
0|2021-11-17|1768.0|0|1768.0|0|33.0|0|0.0|100
0|2021-11-18|1778.0|0|1778.0|0|33.0|0|0.0|100
0|2021-11-19|1781.0|0|1781.0|0|34.0|0|0.0|100
0|2021-11-20|1786.0|0|1786.0|0|34.0|0|0.0|100
0|2021-11-21|1791.0|0|1791.0|0|34.0|0|0.0|100
0|2021-11-22|1796.0|0|1796.0|0|34.0|0|0.0|100
0|2021-11-23|1810.0|0|1810.0|0|34.0|0|0.0|100
0|2021-11-24|1813.0|0|1813.0|0|34.0|0|0.0|100
0|2021-11-25|1813.0|0|1813.0|0|34.0|0|0.0|100
0|2021-11-26|1816.0|0|1816.0|0|37.0|0|0.0|100
0|2021-11-27|1820.0|0|1820.0|0|37.0|0|0.0|100
0|2021-11-28|1828.0|0|1828.0|0|37.0|0|0.0|100
0|2021-11-29|1839.0|0|1839.0|0|37.0|0|0.0|100
0|2021-11-30|1843.0|0|1843.0|0|37.0|0|0.0|100
0|2021-12-01|1857.0|0|1857.0|0|37.0|0|0.0|100
0|2021-12-02|1869.0|0|1869.0|0|37.0|0|0.0|100
0|2021-12-03|1869.0|0|1876.0|0|37.0|0|0.0|100
0|2021-12-04|1881.0|0|1881.0|0|38.0|0|0.0|100
0|2021-12-05|1891.0|0|1891.0|0|38.0|0|0.0|100
0|2021-12-06|1897.0|0|1897.0|0|38.0|0|0.0|100
0|2021-12-07|1908.0|0|1908.0|0|38.0|0|0.0|100
0|2021-12-08|1923.0|0|1923.0|0|38.0|0|0.0|100
0|2021-12-09|1927.0|0|1927.0|0|38.0|0|0.0|100
0|2021-12-10|1933.0|0|1933.0|0|40.0|0|0.0|100
0|2021-12-11|1945.0|0|1945.0|0|40.0|0|0.0|100
0|2021-12-12|1946.0|0|1946.0|0|40.0|0|0.0|100
0|2021-12-13|1949.0|0|1949.0|0|40.0|0|0.0|100
0|2021-12-14|1949.0|0|1953.0|0|40.0|0|0.0|100
0|2021-12-15|1956.0|0|1956.0|0|41.0|0|0.0|100
0|2021-12-16|1970.0|0|1970.0|0|41.0|0|0.0|100
0|2021-12-17|1976.0|0|1976.0|0|41.0|0|0.0|100
0|2021-12-18|1979.0|0|1979.0|0|41.0|0|0.0|100
0|2021-12-19|1988.0|0|1988.0|0|41.0|0|0.0|100
0|2021-12-20|1990.0|0|1990.0|0|41.0|0|0.0|100
0|2021-12-21|1994.0|0|1994.0|0|41.0|0|0.0|100
0|2021-12-22|2002.0|0|2002.0|0|41.0|0|0.0|100
0|2021-12-23|2008.0|0|2008.0|0|41.0|0|0.0|100
0|2021-12-24|2015.0|0|2015.0|0|43.0|0|0.0|100
0|2021-12-25|2015.0|0|2015.0|0|43.0|0|0.0|100
0|2021-12-26|2029.0|0|2029.0|0|43.0|0|0.0|100
0|2021-12-27|2031.0|0|2031.0|0|43.0|0|0.0|100
0|2021-12-28|2037.0|0|2037.0|0|43.0|0|0.0|100
0|2021-12-29|2045.0|0|2045.0|0|43.0|0|0.0|100
0|2021-12-30|2063.0|0|2063.0|0|43.0|0|0.0|100
0|2021-12-31|2074.0|0|2074.0|0|43.0|0|0.0|100
0|2022-01-01|2074.0|0|2074.0|0|43.0|0|0.0|100
0|2022-01-02|2092.0|0|2092.0|0|43.0|0|0.0|100
0|2022-01-03|2105.0|0|2105.0|0|43.0|0|0.0|100
0|2022-01-04|2128.0|0|2128.0|0|43.0|0|0.0|100
0|2022-01-05|2145.0|0|2145.0|0|43.0|0|0.0|100
0|2022-01-06|2159.0|0|2159.0|0|43.0|0|0.0|100
0|2022-01-07|2168.0|0|2168.0|0|44.0|0|0.0|100
0|2022-01-08|2180.0|0|2180.0|0|44.0|0|0.0|100
0|2022-01-09|2190.0|0|2190.0|0|44.0|0|0.0|100
0|2022-01-10|2197.0|0|2197.0|0|44.0|0|0.0|100
0|2022-01-11|2210.0|0|2210.0|0|45.0|0|0.0|100
0|2022-01-12|2226.0|0|2226.0|0|45.0|0|0.0|100
0|2022-01-13|2226.0|0|2255.0|0|45.0|0|0.0|100
0|2022-01-14|2294.0|0|2294.0|0|45.0|0|0.0|100
0|2022-01-15|2352.0|0|2352.0|0|45.0|0|0.0|100
0|2022-01-16|2385.0|0|2385.0|0|45.0|0|0.0|100
0|2022-01-17|2398.0|0|0.0|100|45.0|0|0.0|100
