|dates|Walworth_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Walworth_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Walworth_SouthDakota_UnitedStates.NYT_ConfirmedCases.data|Walworth_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing|Walworth_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Walworth_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Walworth_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Walworth_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|885.0|0|885.0|0|18.0|0|0.0|100
0|2021-10-18|885.0|0|885.0|0|18.0|0|0.0|100
0|2021-10-19|885.0|0|892.0|0|18.0|0|0.0|100
0|2021-10-20|895.0|0|895.0|0|18.0|0|0.0|100
0|2021-10-21|897.0|0|897.0|0|18.0|0|0.0|100
0|2021-10-22|899.0|0|899.0|0|18.0|0|0.0|100
0|2021-10-23|899.0|0|899.0|0|18.0|0|0.0|100
0|2021-10-24|899.0|0|899.0|0|18.0|0|0.0|100
0|2021-10-25|902.0|0|902.0|0|18.0|0|0.0|100
0|2021-10-26|904.0|0|904.0|0|18.0|0|0.0|100
0|2021-10-27|910.0|0|910.0|0|18.0|0|0.0|100
0|2021-10-28|910.0|0|910.0|0|18.0|0|0.0|100
0|2021-10-29|910.0|0|910.0|0|18.0|0|0.0|100
0|2021-10-30|910.0|0|910.0|0|18.0|0|0.0|100
0|2021-10-31|910.0|0|910.0|0|18.0|0|0.0|100
0|2021-11-01|916.0|0|916.0|0|18.0|0|0.0|100
0|2021-11-02|924.0|0|924.0|0|18.0|0|0.0|100
0|2021-11-03|925.0|0|925.0|0|18.0|0|0.0|100
0|2021-11-04|929.0|0|929.0|0|18.0|0|0.0|100
0|2021-11-05|933.0|0|933.0|0|18.0|0|0.0|100
0|2021-11-06|933.0|0|933.0|0|18.0|0|0.0|100
0|2021-11-07|933.0|0|933.0|0|18.0|0|0.0|100
0|2021-11-08|933.0|0|933.0|0|18.0|0|0.0|100
0|2021-11-09|935.0|0|935.0|0|18.0|0|0.0|100
0|2021-11-10|935.0|0|935.0|0|18.0|0|0.0|100
0|2021-11-11|935.0|0|935.0|0|18.0|0|0.0|100
0|2021-11-12|941.0|0|941.0|0|18.0|0|0.0|100
0|2021-11-13|941.0|0|941.0|0|18.0|0|0.0|100
0|2021-11-14|941.0|0|941.0|0|18.0|0|0.0|100
0|2021-11-15|942.0|0|942.0|0|18.0|0|0.0|100
0|2021-11-16|944.0|0|944.0|0|19.0|0|0.0|100
0|2021-11-17|946.0|0|946.0|0|19.0|0|0.0|100
0|2021-11-18|947.0|0|947.0|0|19.0|0|0.0|100
0|2021-11-19|950.0|0|950.0|0|19.0|0|0.0|100
0|2021-11-20|950.0|0|950.0|0|19.0|0|0.0|100
0|2021-11-21|950.0|0|950.0|0|19.0|0|0.0|100
0|2021-11-22|952.0|0|952.0|0|19.0|0|0.0|100
0|2021-11-23|954.0|0|954.0|0|19.0|0|0.0|100
0|2021-11-24|954.0|0|954.0|0|19.0|0|0.0|100
0|2021-11-25|954.0|0|954.0|0|19.0|0|0.0|100
0|2021-11-26|954.0|0|954.0|0|19.0|0|0.0|100
0|2021-11-27|954.0|0|954.0|0|19.0|0|0.0|100
0|2021-11-28|954.0|0|954.0|0|19.0|0|0.0|100
0|2021-11-29|955.0|0|955.0|0|19.0|0|0.0|100
0|2021-11-30|956.0|0|956.0|0|19.0|0|0.0|100
0|2021-12-01|956.0|0|956.0|0|19.0|0|0.0|100
0|2021-12-02|958.0|0|958.0|0|19.0|0|0.0|100
0|2021-12-03|958.0|0|958.0|0|19.0|0|0.0|100
0|2021-12-04|958.0|0|958.0|0|19.0|0|0.0|100
0|2021-12-05|958.0|0|958.0|0|19.0|0|0.0|100
0|2021-12-06|957.0|0|957.0|0|19.0|0|0.0|100
0|2021-12-07|968.0|0|968.0|0|19.0|0|0.0|100
0|2021-12-08|968.0|0|968.0|0|19.0|0|0.0|100
0|2021-12-09|970.0|0|970.0|0|19.0|0|0.0|100
0|2021-12-10|973.0|0|973.0|0|19.0|0|0.0|100
0|2021-12-11|973.0|0|973.0|0|19.0|0|0.0|100
0|2021-12-12|973.0|0|973.0|0|19.0|0|0.0|100
0|2021-12-13|975.0|0|975.0|0|19.0|0|0.0|100
0|2021-12-14|975.0|0|983.0|0|19.0|0|0.0|100
0|2021-12-15|988.0|0|988.0|0|19.0|0|0.0|100
0|2021-12-16|992.0|0|992.0|0|19.0|0|0.0|100
0|2021-12-17|992.0|0|992.0|0|19.0|0|0.0|100
0|2021-12-18|992.0|0|992.0|0|19.0|0|0.0|100
0|2021-12-19|992.0|0|992.0|0|19.0|0|0.0|100
0|2021-12-20|993.0|0|993.0|0|19.0|0|0.0|100
0|2021-12-21|998.0|0|998.0|0|19.0|0|0.0|100
0|2021-12-22|999.0|0|999.0|0|19.0|0|0.0|100
0|2021-12-23|1003.0|0|1003.0|0|19.0|0|0.0|100
0|2021-12-24|1003.0|0|1003.0|0|19.0|0|0.0|100
