|dates|Warren_Iowa_UnitedStates.JHU_ConfirmedCases.data|Warren_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Warren_Iowa_UnitedStates.NYT_ConfirmedCases.data|Warren_Iowa_UnitedStates.NYT_ConfirmedCases.missing|Warren_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Warren_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Warren_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Warren_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7634.0|0|7638.0|0|96.0|0|0.0|100
0|2021-10-18|7634.0|0|7638.0|0|96.0|0|0.0|100
0|2021-10-19|7634.0|0|7638.0|0|96.0|0|0.0|100
0|2021-10-20|7742.0|0|7751.0|0|96.0|0|0.0|100
0|2021-10-21|7742.0|0|7751.0|0|96.0|0|0.0|100
0|2021-10-22|7742.0|0|7751.0|0|96.0|0|0.0|100
0|2021-10-23|7742.0|0|7751.0|0|96.0|0|0.0|100
0|2021-10-24|7742.0|0|7751.0|0|96.0|0|0.0|100
0|2021-10-25|7742.0|0|7751.0|0|96.0|0|0.0|100
0|2021-10-26|7742.0|0|7751.0|0|96.0|0|0.0|100
0|2021-10-27|7871.0|0|7877.0|0|97.0|0|0.0|100
0|2021-10-28|7871.0|0|7877.0|0|97.0|0|0.0|100
0|2021-10-29|7871.0|0|7877.0|0|97.0|0|0.0|100
0|2021-10-30|7871.0|0|7877.0|0|97.0|0|0.0|100
0|2021-10-31|7871.0|0|7877.0|0|97.0|0|0.0|100
0|2021-11-01|7871.0|0|7877.0|0|97.0|0|0.0|100
0|2021-11-02|7989.0|0|7877.0|0|97.0|0|0.0|100
0|2021-11-03|7989.0|0|7999.0|0|100.0|0|0.0|100
0|2021-11-04|7989.0|0|7999.0|0|100.0|0|0.0|100
0|2021-11-05|7989.0|0|7999.0|0|100.0|0|0.0|100
0|2021-11-06|7989.0|0|7999.0|0|100.0|0|0.0|100
0|2021-11-07|7989.0|0|7999.0|0|100.0|0|0.0|100
0|2021-11-08|7989.0|0|7999.0|0|100.0|0|0.0|100
0|2021-11-09|7989.0|0|7999.0|0|100.0|0|0.0|100
0|2021-11-10|7989.0|0|8114.0|0|100.0|0|0.0|100
0|2021-11-11|8101.0|0|8114.0|0|101.0|0|0.0|100
0|2021-11-12|8101.0|0|8114.0|0|101.0|0|0.0|100
0|2021-11-13|8101.0|0|8114.0|0|101.0|0|0.0|100
0|2021-11-14|8101.0|0|8114.0|0|101.0|0|0.0|100
0|2021-11-15|8101.0|0|8114.0|0|101.0|0|0.0|100
0|2021-11-16|8101.0|0|8114.0|0|101.0|0|0.0|100
0|2021-11-17|8247.0|0|8265.0|0|102.0|0|0.0|100
0|2021-11-18|8247.0|0|8265.0|0|102.0|0|0.0|100
0|2021-11-19|8247.0|0|8265.0|0|102.0|0|0.0|100
0|2021-11-20|8247.0|0|8265.0|0|102.0|0|0.0|100
0|2021-11-21|8247.0|0|8265.0|0|102.0|0|0.0|100
0|2021-11-22|8247.0|0|8265.0|0|102.0|0|0.0|100
0|2021-11-23|8247.0|0|8265.0|0|102.0|0|0.0|100
0|2021-11-24|8450.0|0|8482.0|0|104.0|0|0.0|100
0|2021-11-25|8450.0|0|8482.0|0|104.0|0|0.0|100
0|2021-11-26|8450.0|0|8482.0|0|104.0|0|0.0|100
0|2021-11-27|8450.0|0|8482.0|0|104.0|0|0.0|100
0|2021-11-28|8450.0|0|8482.0|0|104.0|0|0.0|100
0|2021-11-29|8450.0|0|8482.0|0|104.0|0|0.0|100
0|2021-11-30|8450.0|0|8482.0|0|104.0|0|0.0|100
0|2021-12-01|8637.0|0|8657.0|0|107.0|0|0.0|100
0|2021-12-02|8637.0|0|8657.0|0|107.0|0|0.0|100
0|2021-12-03|8637.0|0|8657.0|0|107.0|0|0.0|100
0|2021-12-04|8637.0|0|8657.0|0|107.0|0|0.0|100
0|2021-12-05|8637.0|0|8657.0|0|107.0|0|0.0|100
0|2021-12-06|8637.0|0|8657.0|0|107.0|0|0.0|100
0|2021-12-07|8637.0|0|8657.0|0|107.0|0|0.0|100
0|2021-12-08|8837.0|0|8861.0|0|107.0|0|0.0|100
0|2021-12-09|8837.0|0|8861.0|0|107.0|0|0.0|100
0|2021-12-10|8923.0|0|8861.0|0|108.0|0|0.0|100
0|2021-12-11|8923.0|0|8861.0|0|108.0|0|0.0|100
0|2021-12-12|8923.0|0|8861.0|0|108.0|0|0.0|100
0|2021-12-13|8923.0|0|8861.0|0|108.0|0|0.0|100
0|2021-12-14|8923.0|0|8861.0|0|108.0|0|0.0|100
0|2021-12-15|9040.0|0|9045.0|0|109.0|0|0.0|100
0|2021-12-16|9040.0|0|9045.0|0|109.0|0|0.0|100
0|2021-12-17|9040.0|0|9045.0|0|109.0|0|0.0|100
0|2021-12-18|9040.0|0|9045.0|0|109.0|0|0.0|100
0|2021-12-19|9040.0|0|9045.0|0|109.0|0|0.0|100
0|2021-12-20|9040.0|0|9045.0|0|109.0|0|0.0|100
0|2021-12-21|9040.0|0|9045.0|0|109.0|0|0.0|100
0|2021-12-22|9180.0|0|9207.0|0|111.0|0|0.0|100
0|2021-12-23|9180.0|0|9207.0|0|111.0|0|0.0|100
0|2021-12-24|9180.0|0|9207.0|0|111.0|0|0.0|100
0|2021-12-25|9180.0|0|9207.0|0|111.0|0|0.0|100
0|2021-12-26|9180.0|0|9207.0|0|111.0|0|0.0|100
0|2021-12-27|9180.0|0|9207.0|0|111.0|0|0.0|100
0|2021-12-28|9180.0|0|9207.0|0|111.0|0|0.0|100
0|2021-12-29|9339.0|0|9377.0|0|112.0|0|0.0|100
0|2021-12-30|9339.0|0|9377.0|0|112.0|0|0.0|100
0|2021-12-31|9339.0|0|9377.0|0|112.0|0|0.0|100
0|2022-01-01|9339.0|0|9377.0|0|112.0|0|0.0|100
0|2022-01-02|9339.0|0|9377.0|0|112.0|0|0.0|100
0|2022-01-03|9339.0|0|9377.0|0|112.0|0|0.0|100
0|2022-01-04|9339.0|0|9377.0|0|112.0|0|0.0|100
0|2022-01-05|9632.0|0|9705.0|0|116.0|0|0.0|100
0|2022-01-06|9632.0|0|9705.0|0|116.0|0|0.0|100
