|dates|Waushara_Wisconsin_UnitedStates.JHU_ConfirmedCases.data|Waushara_Wisconsin_UnitedStates.JHU_ConfirmedCases.missing|Waushara_Wisconsin_UnitedStates.NYT_ConfirmedCases.data|Waushara_Wisconsin_UnitedStates.NYT_ConfirmedCases.missing|Waushara_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.data|Waushara_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.missing|Waushara_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.data|Waushara_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3579.0|0|3579.0|0|50.0|0|0.0|100
0|2021-10-18|3587.0|0|3587.0|0|50.0|0|0.0|100
0|2021-10-19|3604.0|0|3604.0|0|50.0|0|0.0|100
0|2021-10-20|3623.0|0|3623.0|0|50.0|0|0.0|100
0|2021-10-21|3639.0|0|3639.0|0|50.0|0|0.0|100
0|2021-10-22|3660.0|0|3660.0|0|50.0|0|0.0|100
0|2021-10-23|3660.0|0|3660.0|0|50.0|0|0.0|100
0|2021-10-24|3660.0|0|3660.0|0|50.0|0|0.0|100
0|2021-10-25|3684.0|0|3684.0|0|50.0|0|0.0|100
0|2021-10-26|3704.0|0|3704.0|0|51.0|0|0.0|100
0|2021-10-27|3723.0|0|3723.0|0|51.0|0|0.0|100
0|2021-10-28|3728.0|0|3728.0|0|51.0|0|0.0|100
0|2021-10-29|3739.0|0|3739.0|0|51.0|0|0.0|100
0|2021-10-30|3739.0|0|3739.0|0|51.0|0|0.0|100
0|2021-10-31|3739.0|0|3739.0|0|51.0|0|0.0|100
0|2021-11-01|3760.0|0|3760.0|0|52.0|0|0.0|100
0|2021-11-02|3774.0|0|3774.0|0|53.0|0|0.0|100
0|2021-11-03|3785.0|0|3785.0|0|53.0|0|0.0|100
0|2021-11-04|3789.0|0|3789.0|0|53.0|0|0.0|100
0|2021-11-05|3797.0|0|3797.0|0|54.0|0|0.0|100
0|2021-11-06|3797.0|0|3797.0|0|54.0|0|0.0|100
0|2021-11-07|3797.0|0|3797.0|0|54.0|0|0.0|100
0|2021-11-08|3809.0|0|3809.0|0|54.0|0|0.0|100
0|2021-11-09|3834.0|0|3834.0|0|54.0|0|0.0|100
0|2021-11-10|3834.0|0|3841.0|0|54.0|0|0.0|100
0|2021-11-11|3855.0|0|3855.0|0|54.0|0|0.0|100
0|2021-11-12|3875.0|0|3875.0|0|54.0|0|0.0|100
0|2021-11-13|3875.0|0|3875.0|0|54.0|0|0.0|100
0|2021-11-14|3875.0|0|3875.0|0|54.0|0|0.0|100
0|2021-11-15|3885.0|0|3885.0|0|54.0|0|0.0|100
0|2021-11-16|3905.0|0|3905.0|0|55.0|0|0.0|100
0|2021-11-17|3928.0|0|3928.0|0|55.0|0|0.0|100
0|2021-11-18|3946.0|0|3946.0|0|56.0|0|0.0|100
0|2021-11-19|3969.0|0|3969.0|0|56.0|0|0.0|100
0|2021-11-20|3969.0|0|3969.0|0|56.0|0|0.0|100
0|2021-11-21|3969.0|0|3969.0|0|56.0|0|0.0|100
0|2021-11-22|3986.0|0|3986.0|0|56.0|0|0.0|100
0|2021-11-23|4014.0|0|4014.0|0|56.0|0|0.0|100
0|2021-11-24|4024.0|0|4024.0|0|56.0|0|0.0|100
0|2021-11-25|4048.0|0|4048.0|0|56.0|0|0.0|100
0|2021-11-26|4048.0|0|4048.0|0|57.0|0|0.0|100
0|2021-11-27|4048.0|0|4048.0|0|57.0|0|0.0|100
0|2021-11-28|4048.0|0|4048.0|0|57.0|0|0.0|100
0|2021-11-29|4050.0|0|4050.0|0|57.0|0|0.0|100
0|2021-11-30|4097.0|0|4097.0|0|58.0|0|0.0|100
0|2021-12-01|4111.0|0|4111.0|0|59.0|0|0.0|100
0|2021-12-02|4130.0|0|4130.0|0|59.0|0|0.0|100
0|2021-12-03|4147.0|0|4147.0|0|59.0|0|0.0|100
0|2021-12-04|4147.0|0|4147.0|0|59.0|0|0.0|100
0|2021-12-05|4147.0|0|4147.0|0|59.0|0|0.0|100
0|2021-12-06|4147.0|0|4147.0|0|59.0|0|0.0|100
0|2021-12-07|4147.0|0|4147.0|0|59.0|0|0.0|100
0|2021-12-08|4194.0|0|4194.0|0|59.0|0|0.0|100
0|2021-12-09|4228.0|0|4228.0|0|61.0|0|0.0|100
0|2021-12-10|4248.0|0|4248.0|0|61.0|0|0.0|100
0|2021-12-11|4248.0|0|4248.0|0|61.0|0|0.0|100
0|2021-12-12|4248.0|0|4248.0|0|61.0|0|0.0|100
0|2021-12-13|4280.0|0|4280.0|0|61.0|0|0.0|100
0|2021-12-14|4280.0|0|4323.0|0|61.0|0|0.0|100
0|2021-12-15|4354.0|0|4354.0|0|66.0|0|0.0|100
0|2021-12-16|4372.0|0|4372.0|0|68.0|0|0.0|100
0|2021-12-17|4382.0|0|4382.0|0|67.0|0|0.0|100
