|dates|Weakley_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Weakley_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Weakley_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Weakley_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Weakley_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Weakley_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Weakley_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Weakley_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6202.0|0|6202.0|0|87.0|0|0.0|100
0|2021-10-18|6217.0|0|6217.0|0|87.0|0|0.0|100
0|2021-10-19|6218.0|0|6218.0|0|87.0|0|0.0|100
0|2021-10-20|6223.0|0|6223.0|0|87.0|0|0.0|100
0|2021-10-21|6228.0|0|6228.0|0|88.0|0|0.0|100
0|2021-10-22|6231.0|0|6231.0|0|88.0|0|0.0|100
0|2021-10-23|6231.0|0|6231.0|0|88.0|0|0.0|100
0|2021-10-24|6231.0|0|6231.0|0|88.0|0|0.0|100
0|2021-10-25|6231.0|0|6231.0|0|88.0|0|0.0|100
0|2021-10-26|6240.0|0|6240.0|0|89.0|0|0.0|100
0|2021-10-27|6241.0|0|6241.0|0|89.0|0|0.0|100
0|2021-10-28|6245.0|0|6245.0|0|89.0|0|0.0|100
0|2021-10-29|6247.0|0|6247.0|0|89.0|0|0.0|100
0|2021-10-30|6247.0|0|6247.0|0|89.0|0|0.0|100
0|2021-10-31|6247.0|0|6247.0|0|89.0|0|0.0|100
0|2021-11-01|6247.0|0|6247.0|0|89.0|0|0.0|100
0|2021-11-02|6259.0|0|6259.0|0|89.0|0|0.0|100
0|2021-11-03|6263.0|0|6263.0|0|89.0|0|0.0|100
0|2021-11-04|6267.0|0|6267.0|0|89.0|0|0.0|100
0|2021-11-05|6267.0|0|6267.0|0|89.0|0|0.0|100
0|2021-11-06|6267.0|0|6267.0|0|89.0|0|0.0|100
0|2021-11-07|6267.0|0|6267.0|0|89.0|0|0.0|100
0|2021-11-08|6267.0|0|6267.0|0|89.0|0|0.0|100
0|2021-11-09|6284.0|0|6284.0|0|89.0|0|0.0|100
0|2021-11-10|6286.0|0|6286.0|0|89.0|0|0.0|100
0|2021-11-11|6286.0|0|6286.0|0|89.0|0|0.0|100
0|2021-11-12|6296.0|0|6296.0|0|89.0|0|0.0|100
0|2021-11-13|6296.0|0|6296.0|0|89.0|0|0.0|100
0|2021-11-14|6296.0|0|6296.0|0|89.0|0|0.0|100
0|2021-11-15|6304.0|0|6304.0|0|89.0|0|0.0|100
0|2021-11-16|6309.0|0|6309.0|0|89.0|0|0.0|100
