|dates|Whitley_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Whitley_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Whitley_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Whitley_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Whitley_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Whitley_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Whitley_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Whitley_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|8658.0|0|8658.0|0|82.0|0|0.0|100
0|2021-10-18|8735.0|0|8735.0|0|82.0|0|0.0|100
0|2021-10-19|8769.0|0|8769.0|0|82.0|0|0.0|100
0|2021-10-20|8802.0|0|8802.0|0|82.0|0|0.0|100
0|2021-10-21|8832.0|0|8832.0|0|84.0|0|0.0|100
0|2021-10-22|8841.0|0|8841.0|0|84.0|0|0.0|100
0|2021-10-23|8841.0|0|8841.0|0|84.0|0|0.0|100
0|2021-10-24|8841.0|0|8841.0|0|84.0|0|0.0|100
0|2021-10-25|8861.0|0|8861.0|0|86.0|0|0.0|100
0|2021-10-26|8892.0|0|8892.0|0|86.0|0|0.0|100
0|2021-10-27|8927.0|0|8927.0|0|86.0|0|0.0|100
0|2021-10-28|8941.0|0|8941.0|0|88.0|0|0.0|100
0|2021-10-29|8952.0|0|8952.0|0|88.0|0|0.0|100
0|2021-10-30|8952.0|0|8952.0|0|88.0|0|0.0|100
0|2021-10-31|8952.0|0|8952.0|0|88.0|0|0.0|100
0|2021-11-01|8961.0|0|8961.0|0|88.0|0|0.0|100
0|2021-11-02|8971.0|0|8971.0|0|88.0|0|0.0|100
0|2021-11-03|8982.0|0|8982.0|0|88.0|0|0.0|100
0|2021-11-04|8989.0|0|8989.0|0|88.0|0|0.0|100
0|2021-11-05|8960.0|0|8960.0|0|88.0|0|0.0|100
0|2021-11-06|8960.0|0|8960.0|0|88.0|0|0.0|100
0|2021-11-07|8960.0|0|8960.0|0|88.0|0|0.0|100
0|2021-11-08|8933.0|0|8933.0|0|88.0|0|0.0|100
0|2021-11-09|8947.0|0|8947.0|0|88.0|0|0.0|100
0|2021-11-10|8947.0|0|8950.0|0|88.0|0|0.0|100
0|2021-11-11|8950.0|0|8950.0|0|88.0|0|0.0|100
0|2021-11-12|8960.0|0|8960.0|0|89.0|0|0.0|100
0|2021-11-13|8960.0|0|8960.0|0|89.0|0|0.0|100
0|2021-11-14|8960.0|0|8960.0|0|89.0|0|0.0|100
0|2021-11-15|8969.0|0|8969.0|0|90.0|0|0.0|100
0|2021-11-16|9002.0|0|9002.0|0|92.0|0|0.0|100
0|2021-11-17|9047.0|0|9047.0|0|93.0|0|0.0|100
0|2021-11-18|9061.0|0|9061.0|0|95.0|0|0.0|100
0|2021-11-19|9068.0|0|9068.0|0|98.0|0|0.0|100
0|2021-11-20|9068.0|0|9068.0|0|98.0|0|0.0|100
0|2021-11-21|9068.0|0|9068.0|0|98.0|0|0.0|100
0|2021-11-22|9098.0|0|9098.0|0|100.0|0|0.0|100
0|2021-11-23|9119.0|0|9119.0|0|104.0|0|0.0|100
0|2021-11-24|9145.0|0|9145.0|0|105.0|0|0.0|100
0|2021-11-25|9145.0|0|9145.0|0|105.0|0|0.0|100
0|2021-11-26|9145.0|0|9145.0|0|105.0|0|0.0|100
0|2021-11-27|9145.0|0|9145.0|0|105.0|0|0.0|100
0|2021-11-28|9145.0|0|9145.0|0|105.0|0|0.0|100
0|2021-11-29|9182.0|0|9182.0|0|107.0|0|0.0|100
0|2021-11-30|9220.0|0|9220.0|0|107.0|0|0.0|100
0|2021-12-01|9247.0|0|9247.0|0|108.0|0|0.0|100
0|2021-12-02|9247.0|0|9269.0|0|108.0|0|0.0|100
0|2021-12-03|9314.0|0|9314.0|0|116.0|0|0.0|100
0|2021-12-04|9314.0|0|9314.0|0|116.0|0|0.0|100
0|2021-12-05|9314.0|0|9314.0|0|116.0|0|0.0|100
0|2021-12-06|9344.0|0|9344.0|0|127.0|0|0.0|100
0|2021-12-07|9382.0|0|9382.0|0|129.0|0|0.0|100
0|2021-12-08|9406.0|0|9406.0|0|132.0|0|0.0|100
0|2021-12-09|9429.0|0|9429.0|0|135.0|0|0.0|100
0|2021-12-10|9455.0|0|9455.0|0|135.0|0|0.0|100
0|2021-12-11|9455.0|0|9455.0|0|135.0|0|0.0|100
0|2021-12-12|9455.0|0|9455.0|0|135.0|0|0.0|100
0|2021-12-13|9476.0|0|9476.0|0|138.0|0|0.0|100
0|2021-12-14|9476.0|0|9496.0|0|138.0|0|0.0|100
0|2021-12-15|9503.0|0|9503.0|0|139.0|0|0.0|100
0|2021-12-16|9535.0|0|9535.0|0|139.0|0|0.0|100
0|2021-12-17|9552.0|0|9552.0|0|139.0|0|0.0|100
0|2021-12-18|9552.0|0|9552.0|0|139.0|0|0.0|100
0|2021-12-19|9552.0|0|9552.0|0|139.0|0|0.0|100
0|2021-12-20|9589.0|0|9589.0|0|140.0|0|0.0|100
0|2021-12-21|9613.0|0|9613.0|0|140.0|0|0.0|100
0|2021-12-22|9645.0|0|9645.0|0|140.0|0|0.0|100
0|2021-12-23|9645.0|0|9645.0|0|140.0|0|0.0|100
0|2021-12-24|9645.0|0|9645.0|0|140.0|0|0.0|100
0|2021-12-25|9645.0|0|9645.0|0|140.0|0|0.0|100
0|2021-12-26|9645.0|0|9645.0|0|140.0|0|0.0|100
0|2021-12-27|9696.0|0|9696.0|0|140.0|0|0.0|100
0|2021-12-28|9733.0|0|9733.0|0|141.0|0|0.0|100
0|2021-12-29|9784.0|0|9784.0|0|141.0|0|0.0|100
0|2021-12-30|9784.0|0|9784.0|0|141.0|0|0.0|100
0|2021-12-31|9784.0|0|9784.0|0|141.0|0|0.0|100
0|2022-01-01|9784.0|0|9784.0|0|141.0|0|0.0|100
0|2022-01-02|9784.0|0|9784.0|0|141.0|0|0.0|100
0|2022-01-03|9864.0|0|9864.0|0|142.0|0|0.0|100
0|2022-01-04|9916.0|0|9916.0|0|142.0|0|0.0|100
0|2022-01-05|9986.0|0|9986.0|0|142.0|0|0.0|100
0|2022-01-06|10015.0|0|10015.0|0|142.0|0|0.0|100
0|2022-01-07|10065.0|0|10065.0|0|142.0|0|0.0|100
0|2022-01-08|10065.0|0|10065.0|0|142.0|0|0.0|100
0|2022-01-09|10065.0|0|10065.0|0|142.0|0|0.0|100
0|2022-01-10|10121.0|0|10121.0|0|142.0|0|0.0|100
0|2022-01-11|10252.0|0|10252.0|0|142.0|0|0.0|100
0|2022-01-12|10301.0|0|10301.0|0|142.0|0|0.0|100
0|2022-01-13|10301.0|0|10384.0|0|142.0|0|0.0|100
0|2022-01-14|10475.0|0|10475.0|0|142.0|0|0.0|100
0|2022-01-15|10475.0|0|10475.0|0|142.0|0|0.0|100
0|2022-01-16|10475.0|0|10475.0|0|142.0|0|0.0|100
0|2022-01-17|10475.0|0|0.0|100|142.0|0|0.0|100
