|dates|Winston_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Winston_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Winston_Mississippi_UnitedStates.NYT_ConfirmedCases.data|Winston_Mississippi_UnitedStates.NYT_ConfirmedCases.missing|Winston_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Winston_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Winston_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Winston_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3131.0|0|3131.0|0|91.0|0|0.0|100
0|2021-10-18|3134.0|0|3134.0|0|91.0|0|0.0|100
0|2021-10-19|3139.0|0|3139.0|0|91.0|0|0.0|100
0|2021-10-20|3140.0|0|3140.0|0|91.0|0|0.0|100
0|2021-10-21|3142.0|0|3142.0|0|91.0|0|0.0|100
0|2021-10-22|3142.0|0|3142.0|0|91.0|0|0.0|100
0|2021-10-23|3142.0|0|3142.0|0|91.0|0|0.0|100
0|2021-10-24|3142.0|0|3142.0|0|91.0|0|0.0|100
0|2021-10-25|3146.0|0|3146.0|0|91.0|0|0.0|100
0|2021-10-26|3153.0|0|3153.0|0|91.0|0|0.0|100
0|2021-10-27|3153.0|0|3153.0|0|91.0|0|0.0|100
0|2021-10-28|3158.0|0|3158.0|0|91.0|0|0.0|100
0|2021-10-29|3160.0|0|3160.0|0|91.0|0|0.0|100
0|2021-10-30|3160.0|0|3160.0|0|91.0|0|0.0|100
0|2021-10-31|3160.0|0|3160.0|0|91.0|0|0.0|100
0|2021-11-01|3160.0|0|3160.0|0|91.0|0|0.0|100
0|2021-11-02|3160.0|0|3160.0|0|91.0|0|0.0|100
0|2021-11-03|3161.0|0|3161.0|0|91.0|0|0.0|100
0|2021-11-04|3161.0|0|3161.0|0|91.0|0|0.0|100
0|2021-11-05|3164.0|0|3164.0|0|91.0|0|0.0|100
0|2021-11-06|3164.0|0|3164.0|0|91.0|0|0.0|100
0|2021-11-07|3164.0|0|3164.0|0|91.0|0|0.0|100
0|2021-11-08|3167.0|0|3167.0|0|91.0|0|0.0|100
0|2021-11-09|3168.0|0|3168.0|0|91.0|0|0.0|100
0|2021-11-10|3168.0|0|3168.0|0|91.0|0|0.0|100
0|2021-11-11|3168.0|0|3168.0|0|91.0|0|0.0|100
0|2021-11-12|3172.0|0|3172.0|0|91.0|0|0.0|100
