|dates|Woodford_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Woodford_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Woodford_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Woodford_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Woodford_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Woodford_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Woodford_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Woodford_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3325.0|0|3325.0|0|27.0|0|0.0|100
0|2021-10-18|3396.0|0|3396.0|0|27.0|0|0.0|100
0|2021-10-19|3417.0|0|3417.0|0|27.0|0|0.0|100
0|2021-10-20|3425.0|0|3425.0|0|27.0|0|0.0|100
0|2021-10-21|3438.0|0|3438.0|0|27.0|0|0.0|100
0|2021-10-22|3446.0|0|3446.0|0|27.0|0|0.0|100
0|2021-10-23|3446.0|0|3446.0|0|27.0|0|0.0|100
0|2021-10-24|3446.0|0|3446.0|0|27.0|0|0.0|100
0|2021-10-25|3461.0|0|3461.0|0|27.0|0|0.0|100
0|2021-10-26|3466.0|0|3466.0|0|27.0|0|0.0|100
0|2021-10-27|3468.0|0|3468.0|0|27.0|0|0.0|100
0|2021-10-28|3478.0|0|3478.0|0|27.0|0|0.0|100
0|2021-10-29|3482.0|0|3482.0|0|28.0|0|0.0|100
0|2021-10-30|3482.0|0|3482.0|0|28.0|0|0.0|100
0|2021-10-31|3482.0|0|3482.0|0|28.0|0|0.0|100
0|2021-11-01|3488.0|0|3488.0|0|29.0|0|0.0|100
0|2021-11-02|3494.0|0|3494.0|0|29.0|0|0.0|100
0|2021-11-03|3490.0|0|3490.0|0|29.0|0|0.0|100
0|2021-11-04|3496.0|0|3496.0|0|29.0|0|0.0|100
0|2021-11-05|3498.0|0|3498.0|0|29.0|0|0.0|100
0|2021-11-06|3498.0|0|3498.0|0|29.0|0|0.0|100
0|2021-11-07|3498.0|0|3498.0|0|29.0|0|0.0|100
0|2021-11-08|3506.0|0|3506.0|0|30.0|0|0.0|100
0|2021-11-09|3517.0|0|3517.0|0|30.0|0|0.0|100
0|2021-11-10|3517.0|0|3525.0|0|30.0|0|0.0|100
0|2021-11-11|3525.0|0|3525.0|0|30.0|0|0.0|100
0|2021-11-12|3536.0|0|3536.0|0|30.0|0|0.0|100
0|2021-11-13|3536.0|0|3536.0|0|30.0|0|0.0|100
0|2021-11-14|3536.0|0|3536.0|0|30.0|0|0.0|100
0|2021-11-15|3561.0|0|3561.0|0|30.0|0|0.0|100
0|2021-11-16|3572.0|0|3572.0|0|30.0|0|0.0|100
0|2021-11-17|3580.0|0|3580.0|0|30.0|0|0.0|100
0|2021-11-18|3588.0|0|3588.0|0|30.0|0|0.0|100
0|2021-11-19|3589.0|0|3589.0|0|30.0|0|0.0|100
0|2021-11-20|3589.0|0|3589.0|0|30.0|0|0.0|100
0|2021-11-21|3589.0|0|3589.0|0|30.0|0|0.0|100
0|2021-11-22|3610.0|0|3610.0|0|30.0|0|0.0|100
0|2021-11-23|3622.0|0|3622.0|0|31.0|0|0.0|100
0|2021-11-24|3632.0|0|3632.0|0|31.0|0|0.0|100
0|2021-11-25|3632.0|0|3632.0|0|31.0|0|0.0|100
0|2021-11-26|3632.0|0|3632.0|0|31.0|0|0.0|100
0|2021-11-27|3632.0|0|3632.0|0|31.0|0|0.0|100
0|2021-11-28|3632.0|0|3632.0|0|31.0|0|0.0|100
0|2021-11-29|3674.0|0|3674.0|0|31.0|0|0.0|100
0|2021-11-30|3688.0|0|3688.0|0|31.0|0|0.0|100
0|2021-12-01|3728.0|0|3728.0|0|31.0|0|0.0|100
0|2021-12-02|3728.0|0|3763.0|0|31.0|0|0.0|100
0|2021-12-03|3784.0|0|3784.0|0|31.0|0|0.0|100
0|2021-12-04|3784.0|0|3784.0|0|31.0|0|0.0|100
0|2021-12-05|3784.0|0|3784.0|0|31.0|0|0.0|100
0|2021-12-06|3827.0|0|3827.0|0|32.0|0|0.0|100
0|2021-12-07|3849.0|0|3849.0|0|32.0|0|0.0|100
0|2021-12-08|3869.0|0|3869.0|0|33.0|0|0.0|100
0|2021-12-09|3883.0|0|3883.0|0|33.0|0|0.0|100
0|2021-12-10|3895.0|0|3895.0|0|33.0|0|0.0|100
0|2021-12-11|3895.0|0|3895.0|0|33.0|0|0.0|100
0|2021-12-12|3895.0|0|3895.0|0|33.0|0|0.0|100
0|2021-12-13|3918.0|0|3918.0|0|33.0|0|0.0|100
0|2021-12-14|3918.0|0|3932.0|0|33.0|0|0.0|100
0|2021-12-15|3942.0|0|3942.0|0|33.0|0|0.0|100
0|2021-12-16|3951.0|0|3951.0|0|33.0|0|0.0|100
0|2021-12-17|3956.0|0|3956.0|0|34.0|0|0.0|100
0|2021-12-18|3956.0|0|3956.0|0|34.0|0|0.0|100
0|2021-12-19|3956.0|0|3956.0|0|34.0|0|0.0|100
0|2021-12-20|3986.0|0|3986.0|0|35.0|0|0.0|100
0|2021-12-21|3995.0|0|3995.0|0|35.0|0|0.0|100
0|2021-12-22|4012.0|0|4012.0|0|35.0|0|0.0|100
0|2021-12-23|4012.0|0|4012.0|0|35.0|0|0.0|100
0|2021-12-24|4012.0|0|4012.0|0|35.0|0|0.0|100
0|2021-12-25|4012.0|0|4012.0|0|35.0|0|0.0|100
0|2021-12-26|4012.0|0|4012.0|0|35.0|0|0.0|100
0|2021-12-27|4086.0|0|4086.0|0|37.0|0|0.0|100
0|2021-12-28|4106.0|0|4106.0|0|37.0|0|0.0|100
0|2021-12-29|4137.0|0|4137.0|0|37.0|0|0.0|100
0|2021-12-30|4137.0|0|4137.0|0|37.0|0|0.0|100
0|2021-12-31|4137.0|0|4137.0|0|37.0|0|0.0|100
0|2022-01-01|4137.0|0|4137.0|0|37.0|0|0.0|100
0|2022-01-02|4137.0|0|4137.0|0|37.0|0|0.0|100
0|2022-01-03|4286.0|0|4286.0|0|38.0|0|0.0|100
0|2022-01-04|4315.0|0|4315.0|0|38.0|0|0.0|100
0|2022-01-05|4385.0|0|4385.0|0|38.0|0|0.0|100
0|2022-01-06|4439.0|0|4439.0|0|38.0|0|0.0|100
0|2022-01-07|4514.0|0|4514.0|0|38.0|0|0.0|100
0|2022-01-08|4514.0|0|4514.0|0|38.0|0|0.0|100
0|2022-01-09|4514.0|0|4514.0|0|38.0|0|0.0|100
0|2022-01-10|4597.0|0|4597.0|0|38.0|0|0.0|100
0|2022-01-11|4644.0|0|4644.0|0|38.0|0|0.0|100
0|2022-01-12|4720.0|0|4720.0|0|38.0|0|0.0|100
0|2022-01-13|4720.0|0|4807.0|0|38.0|0|0.0|100
0|2022-01-14|4866.0|0|4866.0|0|38.0|0|0.0|100
0|2022-01-15|4866.0|0|4866.0|0|38.0|0|0.0|100
0|2022-01-16|4866.0|0|4866.0|0|38.0|0|0.0|100
0|2022-01-17|4866.0|0|0.0|100|38.0|0|0.0|100
