|dates|Woodson_Kansas_UnitedStates.JHU_ConfirmedCases.data|Woodson_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Woodson_Kansas_UnitedStates.NYT_ConfirmedCases.data|Woodson_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Woodson_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Woodson_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Woodson_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Woodson_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|390.0|0|390.0|0|9.0|0|0.0|100
0|2021-10-18|391.0|0|391.0|0|9.0|0|0.0|100
0|2021-10-19|391.0|0|391.0|0|9.0|0|0.0|100
0|2021-10-20|393.0|0|393.0|0|9.0|0|0.0|100
0|2021-10-21|393.0|0|393.0|0|9.0|0|0.0|100
0|2021-10-22|398.0|0|398.0|0|9.0|0|0.0|100
0|2021-10-23|398.0|0|398.0|0|9.0|0|0.0|100
0|2021-10-24|398.0|0|398.0|0|9.0|0|0.0|100
0|2021-10-25|400.0|0|400.0|0|9.0|0|0.0|100
0|2021-10-26|400.0|0|400.0|0|9.0|0|0.0|100
0|2021-10-27|407.0|0|407.0|0|10.0|0|0.0|100
0|2021-10-28|407.0|0|407.0|0|10.0|0|0.0|100
0|2021-10-29|414.0|0|414.0|0|10.0|0|0.0|100
0|2021-10-30|414.0|0|414.0|0|10.0|0|0.0|100
0|2021-10-31|414.0|0|414.0|0|10.0|0|0.0|100
0|2021-11-01|415.0|0|415.0|0|10.0|0|0.0|100
0|2021-11-02|415.0|0|415.0|0|10.0|0|0.0|100
0|2021-11-03|424.0|0|424.0|0|10.0|0|0.0|100
0|2021-11-04|424.0|0|424.0|0|10.0|0|0.0|100
0|2021-11-05|424.0|0|424.0|0|10.0|0|0.0|100
0|2021-11-06|424.0|0|424.0|0|10.0|0|0.0|100
0|2021-11-07|424.0|0|424.0|0|10.0|0|0.0|100
0|2021-11-08|424.0|0|424.0|0|10.0|0|0.0|100
0|2021-11-09|424.0|0|424.0|0|10.0|0|0.0|100
0|2021-11-10|424.0|0|424.0|0|10.0|0|0.0|100
0|2021-11-11|424.0|0|424.0|0|10.0|0|0.0|100
0|2021-11-12|425.0|0|425.0|0|10.0|0|0.0|100
0|2021-11-13|425.0|0|425.0|0|10.0|0|0.0|100
0|2021-11-14|425.0|0|425.0|0|10.0|0|0.0|100
0|2021-11-15|427.0|0|427.0|0|10.0|0|0.0|100
0|2021-11-16|427.0|0|427.0|0|10.0|0|0.0|100
0|2021-11-17|429.0|0|429.0|0|10.0|0|0.0|100
0|2021-11-18|429.0|0|429.0|0|10.0|0|0.0|100
0|2021-11-19|434.0|0|434.0|0|10.0|0|0.0|100
0|2021-11-20|434.0|0|434.0|0|10.0|0|0.0|100
0|2021-11-21|434.0|0|434.0|0|10.0|0|0.0|100
0|2021-11-22|438.0|0|438.0|0|10.0|0|0.0|100
