|dates|Yakima_Washington_UnitedStates.AveragePrecipitationTotal.data|Yakima_Washington_UnitedStates.AveragePrecipitationTotal.missing|Yakima_Washington_UnitedStates.AveragePrecipitation.data|Yakima_Washington_UnitedStates.AveragePrecipitation.missing|Yakima_Washington_UnitedStates.AverageWindDirection.data|Yakima_Washington_UnitedStates.AverageWindDirection.missing|Yakima_Washington_UnitedStates.AverageWindSpeed.data|Yakima_Washington_UnitedStates.AverageWindSpeed.missing
0|2021-10-17|0.0|0|0.0|0|200.83333333333334|0|4.375|0
0|2021-10-18|0.0|0|0.0|0|181.25|0|4.375|0
0|2021-10-19|0.0|0|0.0|0|150.83333333333334|0|4.291666666666667|0
0|2021-10-20|0.0033333333333333335|0|0.004166666666666667|0|173.75|0|8.75|0
0|2021-10-21|0.0008333333333333334|0|0.0004166666666666667|0|185.41666666666666|0|4.833333333333333|0
0|2021-10-22|0.014166666666666668|0|0.01625|0|124.58333333333333|0|5.083333333333333|0
0|2021-10-23|0.0025|0|0.0004166666666666667|0|111.25|0|3.0833333333333335|0
0|2021-10-24|0.0004166666666666667|0|0.018055555555555554|0|115.7638888888889|0|5.319444444444444|0
0|2021-10-25|0.02|0|0.0|0|151.25|0|9.333333333333334|0
0|2021-10-26|0.0|0|0.0|0|165.0|0|7.958333333333333|0
0|2021-10-27|0.0|0|0.0|0|169.16666666666666|0|6.541666666666667|0
0|2021-10-28|0.0|0|0.0|0|169.58333333333334|0|10.854166666666666|0
0|2021-10-29|0.0|0|0.0008333333333333334|0|296.6666666666667|0|8.166666666666666|0
0|2021-10-30|0.0008333333333333334|0|0.0|0|195.41666666666666|0|9.208333333333334|0
0|2021-10-31|0.0|0|0.0|0|191.25|0|7.708333333333333|0
0|2021-11-01|0.0|0|0.0020833333333333333|0|187.08333333333334|0|4.458333333333333|0
0|2021-11-02|0.0020833333333333333|0|0.0031249999999999997|0|157.77777777777774|0|2.902777777777778|0
0|2021-11-03|0.00125|0|0.0|0|97.43055555555554|0|1.8819444444444446|0
0|2021-11-04|0.0009722222222222223|0|0.002777777777777778|0|166.5277777777778|0|6.392361111111112|0
0|2021-11-05|0.0|0|0.0|0|157.08333333333334|0|4.291666666666667|0
0|2021-11-06|0.0|0|0.0|0|135.41666666666666|0|7.541666666666667|0
0|2021-11-07|0.0|0|0.0|0|174.16666666666666|0|12.666666666666666|0
0|2021-11-08|0.0|0|0.0|0|160.41666666666666|0|4.416666666666667|0
0|2021-11-09|0.0025|0|0.0043749999999999995|0|136.04166666666666|0|4.916666666666667|0
0|2021-11-10|0.0004166666666666667|0|0.00125|0|110.0|0|2.8333333333333335|0
0|2021-11-11|0.005|0|0.02055555555555556|0|93.25|0|1.6458333333333333|0
0|2021-11-12|0.008333333333333333|0|0.0021527777777777778|0|137.22222222222223|0|2.772916666666667|0
0|2021-11-13|0.0008333333333333334|0|0.0008333333333333334|0|143.33333333333334|0|2.9166666666666665|0
0|2021-11-14|0.0008333333333333334|0|0.0|0|166.25|0|9.666666666666666|0
0|2021-11-15|0.0|0|0.0|0|221.25|0|19.375|0
0|2021-11-16|0.0|0|0.0|0|135.0|0|4.708333333333333|0
0|2021-11-17|0.0|0|0.0|0|216.25|0|5.75|0
0|2021-11-18|0.0|0|0.00125|0|188.61111111111111|0|3.611111111111111|0
0|2021-11-19|0.0010416666666666667|0|0.0077083333333333335|0|165.41666666666666|0|3.5625|0
0|2021-11-20|0.002361111111111111|0|0.0|0|108.19444444444444|0|2.8715277777777772|0
0|2021-11-21|0.0|0|0.0|0|187.8125|0|3.684027777777778|0
0|2021-11-22|0.0|0|0.0006944444444444445|0|185.83333333333334|0|3.923611111111111|0
0|2021-11-23|0.0062499999999999995|0|0.003166666666666667|0|132.25|0|4.254166666666666|0
0|2021-11-24|0.0|0|0.0|0|123.33333333333333|0|2.4583333333333335|0
0|2021-11-25|0.0|0|0.0|0|64.58333333333333|0|1.5416666666666667|0
0|2021-11-26|0.0|0|0.0|0|151.66666666666666|0|4.5|0
0|2021-11-27|0.0|0|0.0007291666666666667|0|121.45833333333333|0|2.4166666666666665|0
0|2021-11-28|0.0008333333333333334|0|0.0|0|147.5|0|9.958333333333334|0
0|2021-11-29|0.0|0|0.0|0|161.66666666666666|0|4.333333333333333|0
0|2021-11-30|0.0|0|0.0|0|115.0|0|5.583333333333333|0
0|2021-12-01|0.0|0|0.0|0|135.41666666666666|0|4.708333333333333|0
0|2021-12-02|0.0|0|0.0|0|145.0|0|4.583333333333333|0
0|2021-12-03|0.0|0|0.0|0|192.5|0|5.166666666666667|0
0|2021-12-04|0.0|0|0.0|0|146.66666666666666|0|3.1666666666666665|0
0|2021-12-05|0.0|0|0.0|0|116.66666666666667|0|4.583333333333333|0
0|2021-12-06|0.0|0|0.0|0|144.7222222222222|0|2.8125|0
0|2021-12-07|0.0|0|0.0|0|72.91666666666667|0|1.09375|0
0|2021-12-08|0.0|0|0.0|0|122.39583333333333|0|6.645833333333333|0
0|2021-12-09|0.0|0|0.0|0|122.91666666666667|0|3.7083333333333335|0
0|2021-12-10|0.0|0|0.0|0|105.0|0|7.916666666666667|0
0|2021-12-11|0.0|0|0.0|0|187.08333333333334|0|16.625|0
0|2021-12-12|0.0|0|0.0|0|157.5|0|6.416666666666667|0
0|2021-12-13|0.0|0|0.0029861111111111113|0|173.19444444444446|0|4.385416666666667|0
0|2021-12-14|0.0011111111111111111|0|0.0|0|161.00198412698413|0|3.550099206349206|0
0|2021-12-15|0.0|0|0.0004166666666666667|0|189.09722222222226|0|3.7222222222222228|0
0|2021-12-16|0.0004166666666666667|0|0.0|0|211.66666666666666|0|4.416666666666667|0
0|2021-12-17|0.0|0|0.0011805555555555556|0|110.41666666666667|0|2.5|0
0|2021-12-18|0.0011111111111111111|0|0.0015624999999999999|0|121.66666666666667|0|3.0208333333333335|0
0|2021-12-19|0.0004166666666666667|0|0.0|0|214.375|0|4.791666666666667|0
0|2021-12-20|0.0003125|0|0.0017013888888888892|0|179.0625|0|3.6979166666666665|0
0|2021-12-21|0.00125|0|0.001423611111111111|0|119.75694444444444|0|2.3472222222222223|0
0|2021-12-22|0.0016666666666666668|0|0.0|0|164.54861111111111|0|3.4305555555555554|0
0|2021-12-23|0.0|0|0.0|0|167.5|0|6.583333333333333|0
0|2021-12-24|0.0|0|0.0|0|170.0|0|6.708333333333333|0
0|2021-12-25|0.0|0|0.0|0|152.5|0|10.791666666666666|0
0|2021-12-26|0.0|0|0.0|0|155.20833333333334|0|7.208333333333333|0
0|2021-12-27|0.0|0|0.00010416666666666667|0|143.78472222222223|0|5.777777777777779|0
0|2021-12-28|0.0003333333333333333|0|0.0009166666666666666|0|61.18055555555555|0|2.75|0
0|2021-12-29|0.0|0|0.0|0|195.41666666666666|0|6.104166666666667|0
0|2021-12-30|0.0|0|0.0|0|174.30555555555557|0|5.159722222222222|0
0|2021-12-31|0.0|0|8.333333333333333e-05|0|140.84722222222223|0|3.5361111111111114|0
0|2022-01-01|0.0004166666666666667|0|0.0|0|117.08333333333333|0|3.75|0
0|2022-01-02|0.0|0|0.0|0|106.35416666666667|0|2.0520833333333335|0
0|2022-01-03|0.0033333333333333335|0|0.017305555555555557|0|143.27083333333334|0|3.3125|0
0|2022-01-04|0.0040625|0|0.000625|0|94.45138888888887|0|1.9083333333333332|0
0|2022-01-05|0.0004166666666666667|0|0.013055555555555555|0|96.36805555555556|0|2.877777777777778|0
0|2022-01-06|0.011458333333333334|0|0.008923611111111111|0|101.59722222222221|0|1.9131944444444444|0
0|2022-01-07|0.0062499999999999995|0|0.0|0|207.5|0|8.072916666666666|0
0|2022-01-08|0.0|0|0.0|0|164.58333333333334|0|3.75|0
0|2022-01-09|0.0|0|0.0|0|183.33333333333334|0|3.75|0
0|2022-01-10|0.0|0|0.0|0|91.66666666666667|0|1.875|0
0|2022-01-11|0.0|0|0.0|0|135.0|0|2.875|0
0|2022-01-12|0.0|0|0.0|0|118.125|0|1.9791666666666667|0
0|2022-01-13|0.0|0|0.000625|0|121.61458333333333|0|2.5298611111111113|0
0|2022-01-14|0.00017857142857142857|0|0.0|0|105.97222222222221|0|1.7840277777777775|0
0|2022-01-15|0.0|0|0.0|0|16.979166666666668|0|1.1215277777777777|0
0|2022-01-16|0.0|0|0.0|0|71.875|0|0.875|0
0|2022-01-17|0.0|0|0.0|0|83.54166666666667|0|2.0416666666666665|0
