|dates|Yavapai_Arizona_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.data|Yavapai_Arizona_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.missing|Yavapai_Arizona_UnitedStates.NYT_ConfirmedDeaths.data|Yavapai_Arizona_UnitedStates.NYT_ConfirmedDeaths.missing|Yavapai_Arizona_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.data|Yavapai_Arizona_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.missing|Yavapai_Arizona_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.data|Yavapai_Arizona_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.missing
0|2021-10-17|0.0|100|667.0|0|0.0|100|0.0|100
0|2021-10-18|0.0|100|667.0|0|0.0|100|0.0|100
0|2021-10-19|0.0|100|674.0|0|0.0|100|0.0|100
0|2021-10-20|0.0|100|676.0|0|0.0|100|0.0|100
0|2021-10-21|0.0|100|682.0|0|0.0|100|0.0|100
0|2021-10-22|0.0|100|684.0|0|0.0|100|0.0|100
0|2021-10-23|0.0|100|684.0|0|0.0|100|0.0|100
0|2021-10-24|0.0|100|684.0|0|0.0|100|0.0|100
0|2021-10-25|0.0|100|684.0|0|0.0|100|0.0|100
0|2021-10-26|0.0|100|687.0|0|0.0|100|0.0|100
0|2021-10-27|0.0|100|688.0|0|0.0|100|0.0|100
0|2021-10-28|0.0|100|689.0|0|0.0|100|0.0|100
0|2021-10-29|0.0|100|689.0|0|0.0|100|0.0|100
0|2021-10-30|0.0|100|693.0|0|0.0|100|0.0|100
0|2021-10-31|0.0|100|695.0|0|0.0|100|0.0|100
0|2021-11-01|0.0|100|695.0|0|0.0|100|0.0|100
0|2021-11-02|0.0|100|698.0|0|0.0|100|0.0|100
0|2021-11-03|0.0|100|704.0|0|0.0|100|0.0|100
0|2021-11-04|0.0|100|706.0|0|0.0|100|0.0|100
0|2021-11-05|0.0|100|708.0|0|0.0|100|0.0|100
0|2021-11-06|0.0|100|714.0|0|0.0|100|0.0|100
0|2021-11-07|0.0|100|713.0|0|0.0|100|0.0|100
0|2021-11-08|0.0|100|713.0|0|0.0|100|0.0|100
0|2021-11-09|0.0|100|722.0|0|0.0|100|0.0|100
0|2021-11-10|0.0|100|727.0|0|0.0|100|0.0|100
0|2021-11-11|0.0|100|728.0|0|0.0|100|0.0|100
0|2021-11-12|0.0|100|734.0|0|0.0|100|0.0|100
0|2021-11-13|0.0|100|739.0|0|0.0|100|0.0|100
0|2021-11-14|0.0|100|740.0|0|0.0|100|0.0|100
0|2021-11-15|0.0|100|740.0|0|0.0|100|0.0|100
0|2021-11-16|0.0|100|750.0|0|0.0|100|0.0|100
0|2021-11-17|0.0|100|754.0|0|0.0|100|0.0|100
0|2021-11-18|0.0|100|756.0|0|0.0|100|0.0|100
0|2021-11-19|0.0|100|761.0|0|0.0|100|0.0|100
0|2021-11-20|0.0|100|767.0|0|0.0|100|0.0|100
