|dates|Yuma_Arizona_UnitedStates.JHU_ConfirmedCases.data|Yuma_Arizona_UnitedStates.JHU_ConfirmedCases.missing|Yuma_Arizona_UnitedStates.NYT_ConfirmedCases.data|Yuma_Arizona_UnitedStates.NYT_ConfirmedCases.missing|Yuma_Arizona_UnitedStates.JHU_ConfirmedDeaths.data|Yuma_Arizona_UnitedStates.JHU_ConfirmedDeaths.missing|Yuma_Arizona_UnitedStates.JHU_ConfirmedRecoveries.data|Yuma_Arizona_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|41187.0|0|41187.0|0|897.0|0|0.0|100
0|2021-10-18|41187.0|0|41187.0|0|897.0|0|0.0|100
0|2021-10-19|41251.0|0|41251.0|0|903.0|0|0.0|100
0|2021-10-20|41254.0|0|41254.0|0|903.0|0|0.0|100
0|2021-10-21|41281.0|0|41281.0|0|903.0|0|0.0|100
0|2021-10-22|41309.0|0|41309.0|0|903.0|0|0.0|100
0|2021-10-23|41347.0|0|41347.0|0|903.0|0|0.0|100
0|2021-10-24|41379.0|0|41379.0|0|903.0|0|0.0|100
0|2021-10-25|41379.0|0|41379.0|0|903.0|0|0.0|100
0|2021-10-26|41378.0|0|41378.0|0|908.0|0|0.0|100
0|2021-10-27|41466.0|0|41466.0|0|908.0|0|0.0|100
0|2021-10-28|41498.0|0|41498.0|0|908.0|0|0.0|100
0|2021-10-29|41554.0|0|41554.0|0|909.0|0|0.0|100
0|2021-10-30|41588.0|0|41588.0|0|909.0|0|0.0|100
0|2021-10-31|41645.0|0|41645.0|0|909.0|0|0.0|100
0|2021-11-01|41680.0|0|41680.0|0|909.0|0|0.0|100
0|2021-11-02|41707.0|0|41707.0|0|909.0|0|0.0|100
0|2021-11-03|41725.0|0|41725.0|0|911.0|0|0.0|100
0|2021-11-04|41802.0|0|41802.0|0|911.0|0|0.0|100
0|2021-11-05|41843.0|0|41843.0|0|912.0|0|0.0|100
0|2021-11-06|41881.0|0|41881.0|0|914.0|0|0.0|100
0|2021-11-07|41924.0|0|41924.0|0|914.0|0|0.0|100
0|2021-11-08|41958.0|0|41958.0|0|914.0|0|0.0|100
0|2021-11-09|41975.0|0|41975.0|0|918.0|0|0.0|100
0|2021-11-10|41975.0|0|41995.0|0|918.0|0|0.0|100
0|2021-11-11|42029.0|0|42029.0|0|919.0|0|0.0|100
0|2021-11-12|42083.0|0|42083.0|0|920.0|0|0.0|100
0|2021-11-13|42127.0|0|42127.0|0|921.0|0|0.0|100
0|2021-11-14|42169.0|0|42169.0|0|921.0|0|0.0|100
0|2021-11-15|42200.0|0|42200.0|0|921.0|0|0.0|100
0|2021-11-16|42220.0|0|42220.0|0|923.0|0|0.0|100
0|2021-11-17|42246.0|0|42246.0|0|922.0|0|0.0|100
0|2021-11-18|42296.0|0|42296.0|0|922.0|0|0.0|100
0|2021-11-19|42370.0|0|42370.0|0|923.0|0|0.0|100
0|2021-11-20|42427.0|0|42427.0|0|923.0|0|0.0|100
0|2021-11-21|42469.0|0|42469.0|0|923.0|0|0.0|100
0|2021-11-22|42508.0|0|42508.0|0|923.0|0|0.0|100
0|2021-11-23|42529.0|0|42529.0|0|925.0|0|0.0|100
0|2021-11-24|42555.0|0|42555.0|0|926.0|0|0.0|100
0|2021-11-25|42586.0|0|42586.0|0|926.0|0|0.0|100
0|2021-11-26|42646.0|0|42646.0|0|926.0|0|0.0|100
0|2021-11-27|42691.0|0|42691.0|0|927.0|0|0.0|100
0|2021-11-28|42712.0|0|42712.0|0|927.0|0|0.0|100
0|2021-11-29|42724.0|0|42724.0|0|927.0|0|0.0|100
0|2021-11-30|42724.0|0|42742.0|0|927.0|0|0.0|100
0|2021-12-01|42770.0|0|42770.0|0|928.0|0|0.0|100
0|2021-12-02|42804.0|0|42804.0|0|930.0|0|0.0|100
0|2021-12-03|42897.0|0|42897.0|0|930.0|0|0.0|100
0|2021-12-04|42987.0|0|42987.0|0|935.0|0|0.0|100
0|2021-12-05|43033.0|0|43033.0|0|931.0|0|0.0|100
0|2021-12-06|43083.0|0|43083.0|0|931.0|0|0.0|100
0|2021-12-07|43107.0|0|43107.0|0|938.0|0|0.0|100
0|2021-12-08|43138.0|0|43138.0|0|938.0|0|0.0|100
0|2021-12-09|43184.0|0|43184.0|0|939.0|0|0.0|100
0|2021-12-10|43233.0|0|43233.0|0|941.0|0|0.0|100
0|2021-12-11|43291.0|0|43291.0|0|942.0|0|0.0|100
0|2021-12-12|43393.0|0|43393.0|0|942.0|0|0.0|100
0|2021-12-13|43393.0|0|43424.0|0|942.0|0|0.0|100
0|2021-12-14|43393.0|0|43445.0|0|942.0|0|0.0|100
0|2021-12-15|43487.0|0|43487.0|0|948.0|0|0.0|100
0|2021-12-16|43518.0|0|43518.0|0|949.0|0|0.0|100
0|2021-12-17|43571.0|0|43571.0|0|954.0|0|0.0|100
0|2021-12-18|43571.0|0|43628.0|0|954.0|0|0.0|100
0|2021-12-19|43663.0|0|43663.0|0|954.0|0|0.0|100
0|2021-12-20|43694.0|0|43694.0|0|954.0|0|0.0|100
0|2021-12-21|43718.0|0|43718.0|0|962.0|0|0.0|100
0|2021-12-22|43746.0|0|43746.0|0|964.0|0|0.0|100
0|2021-12-23|43873.0|0|43873.0|0|965.0|0|0.0|100
0|2021-12-24|43938.0|0|43938.0|0|966.0|0|0.0|100
0|2021-12-25|43938.0|0|43992.0|0|966.0|0|0.0|100
0|2021-12-26|44013.0|0|44013.0|0|969.0|0|0.0|100
0|2021-12-27|44105.0|0|44105.0|0|969.0|0|0.0|100
0|2021-12-28|44105.0|0|44127.0|0|969.0|0|0.0|100
0|2021-12-29|44127.0|0|44176.0|0|979.0|0|0.0|100
0|2021-12-30|44176.0|0|44260.0|0|982.0|0|0.0|100
0|2021-12-31|44378.0|0|44378.0|0|982.0|0|0.0|100
0|2022-01-01|44644.0|0|44644.0|0|985.0|0|0.0|100
0|2022-01-02|44644.0|0|44644.0|0|985.0|0|0.0|100
0|2022-01-03|45048.0|0|45048.0|0|985.0|0|0.0|100
0|2022-01-04|45229.0|0|45229.0|0|987.0|0|0.0|100
0|2022-01-05|45302.0|0|45302.0|0|987.0|0|0.0|100
0|2022-01-06|45489.0|0|45489.0|0|989.0|0|0.0|100
0|2022-01-07|45723.0|0|45723.0|0|991.0|0|0.0|100
0|2022-01-08|46043.0|0|46043.0|0|995.0|0|0.0|100
0|2022-01-09|46043.0|0|46341.0|0|995.0|0|0.0|100
0|2022-01-10|46633.0|0|46633.0|0|998.0|0|0.0|100
0|2022-01-11|46958.0|0|46958.0|0|1010.0|0|0.0|100
0|2022-01-12|47434.0|0|47434.0|0|1010.0|0|0.0|100
0|2022-01-13|47434.0|0|47851.0|0|1010.0|0|0.0|100
0|2022-01-14|48145.0|0|48145.0|0|1013.0|0|0.0|100
0|2022-01-15|48145.0|0|49104.0|0|1013.0|0|0.0|100
0|2022-01-16|48337.0|0|49891.0|0|1017.0|0|0.0|100
0|2022-01-17|50582.0|0|0.0|100|1016.0|0|0.0|100
